店铺名称,联系电话,详细地址
南亚水都,0752-8552222/13380666222,惠东县平山镇河南路城记海鲜酒店西侧20米
365量贩式KTV,0752-2622365,惠城区和畅五路万信佳广场4楼
爱音乐量贩KTV,0752-8555222/15766959310,惠东县河南路南亚水都旁
银乐迪酒吧&KTV,0752-3652222,惠阳区白云二路万联广场5楼
华声量贩式KTV,0752-7801333/7801233,惠城区小金口农贸综合市场5楼
卡曼昵量贩式KTV,0752-2828050,惠城区文明一路意生广场4楼（沃尔玛入口4楼）
皇庭假日水会酒店,0752-8888777,惠东县华侨城富星服装城5层
雍逸园室内游泳馆,0752-2561919,惠城区麦地南路雍逸园小区东门内（李瑞麟小学门口右边雍逸园东门内）
兄弟连台球城,0752-2228147/13422425889,惠城区螺子湖北街河南岸中心市场3楼（润泰商业广场）
金泰连锁(华侨城店),0752-8928138,惠东县华侨城城南水厂右侧
鑫海森(鑫龙店),0752-3563339,惠阳区启盛大厦33号（中医院对面）
金泰连锁(陈江店),0752-3767718,惠城区陈江镇金湖路12号格林豪泰二楼（中国建设银行斜对面）
凯乐迪量贩式KTV(黄排店),0752-8871888/8867666,惠东县河南路黄排升辉花园1栋
鑫手指推拿足浴,0752-2289889,惠城区麦地黄田岗和庆楼2楼
乐馨时尚量贩式KTV(博罗店),0752-6225888,博罗县商业街155号银城大酒店内
新明珠美发城(推拿部惠东店),0752-8399288,惠东县平山侨富路88号（原老宴豪）2-6楼
万顺休闲中心,0752-3736828,惠阳区淡水镇万顺一路92号（美宜佳对面）
老杨惠人堂盲人按摩中心,13620482731/15913850411,惠城区江北德赛大厦后面（江北云山西路德赛大厦后面兰州拉面二楼）
鹤天足道养生,0752-3811678,惠阳区人民路旺角新天地广场二楼
新焦点KTV,0752-8691999,惠东县黄埠镇人民路圆盘往南50米
路易纯K,0752-8877722,惠东县平山镇新平大道328号（美多购物中心旁）
新起点KTV,0752-3391688/3391698,惠阳区开城大道北11号（鲁惠宾馆对面）
X-PARTY量贩KTV,0752-2226111/18807524298,惠阳区康和路7号英之皇商业大厦三楼
韩蒸天下养生馆,0752-7807061/15016088807,惠城区演达大道2号曼哈顿广场7楼709-715室（请乘4号或5号电梯）
惠民堂盲人按摩中心,13631996987,惠城区江北新沥路22号天泽名居四号铺（伟豪领域）
迪乐迪量贩式KTV,0752-3251666,惠城区陈江甲子路125号（近陈江人人乐）
金泰连锁(金泰店),0752-2260328/2264328,惠城区麦地花边岭南路28号
金泰连锁(新泰店),0752-2313328,惠城区麦地南路1号（集圆大厦）
欢唱派对主题KTV,0752-2789099,惠城区南坛东路17号美博城4楼（下埔滨江公园）
歌宴量贩式KTV(仲恺店),0752-3110888/3110111,惠城区仲恺二路82号惠环商贸中心4楼（惠环市场旁）
金泰连锁(水口店),0752-2129328,惠城区龙湖大道南232号1号楼07商铺
Tpark时尚公园游泳池,13502426097/18824865258,惠城区仲恺大道Tpark时尚公园七楼
星K主题KTV(华都广场店),0752-3536888,惠阳区开城大道北开成大道1号华都广场4楼
至尊之夜酒吧,0752-2619898,惠城区麦地路16号金鑫商务酒店二楼
鸿志量贩KTV,0752-3172222/3173989,惠城区陈江大道南56号鸿志酒店二楼（人人乐往三星方向500米，金鑫酒店旁边）
鑫泰养生沐足馆,0752-2281966,惠城区马庄路华厦花园大门侧9-48号（近麦地路，天悦酒店南侧）
谜途密室,13392020766,"惠城区麦地路国商大厦B栋6楼（人人乐侧工商银行旁,国美电器对面）"
万客汇KTV,0752-3899399/3899300,惠城区仲恺五路泰悦酒店正对面（聚活力酒吧对面）
东都沐足,0752-2776168,惠城区吉之岛东门斜对面东都商务酒店3楼
格林量贩KTV,0752-2225515,惠城区和地路14号格林富鸿酒店二楼
博罗体育中心游泳馆,18819643377,博罗县惠州大道博罗体育中心内
情定?好声音量贩式KTV(仲恺店),0752-3888000/3888555,惠城区仲恺大道20号中信医院
仁一堂养生馆,0752-8881228,惠东县大岭镇惠东大道2869号
头文字卡丁车俱乐部,18902657588,惠城区三环东路北水口光辉家居CBD（中信大桥旁）
皇家主题自助KTV,0752-3817777,惠阳区白云二路109号（世贸大厦旁）
金泰惠阳旗舰店,0752-3111777,惠阳区淡水人民六路4号中恒泛亚大酒店2层
纯歌派对量贩式KTV(比亚迪店),0752-5576339/5576299,惠阳区大亚湾西区龙山七路世纪城A栋4楼（比亚迪南门正对面）
尼科班森酒吧(惠东店),0752-8339898,惠东县平山镇河南路116号（荞洋饭店旁）
惠美力健身俱乐部港惠游泳池,0752-7837898,惠城区河南岸港惠新天地六楼空中花园
好歌声量贩式KTV,0752-2699988,惠城区惠州大道江北三新市场3楼（雅芳大酒店三楼）
金泰连锁(云山店),0752-2312328,惠城区新沥路31号（云山如家酒店楼下）
爱沐咖啡私人影院,0752-2558080,惠城区演达大道11号港惠新天地西区演达酒店（宜必思酒店）17楼
欧歌量贩式KTV(惠东店),0752-8913338,惠东县惠东大道2355号（家家乐购物中心对面）
星天地量贩式KTV,0752-5551777,惠阳区新澳大道三街9号2/3楼
鑫海森(万客来店),0752-3377833,惠阳区淡水演达二路17号2至3楼（万客来楼上）
怡康养生中心,7808999,惠城区麦地东路泰豪绿湖心村
星时空量贩KTV(淡水店),0752-3395488,惠阳区体育路鸿源大酒店二楼（近惠阳体肓馆）
爱尚纯K量贩式KTV(比亚迪店),0752-5199268,惠阳区大亚湾西区龙山七路快乐购物广场3-4楼
安然纳米美容纹绣汗蒸馆(光耀店),18122598114,惠城区麦地南路光耀城市广场2栋2703室（交通银行左侧与罗蜜雅伦中间进入）
丽景沐足城,0752-3272225,惠阳区淡水南门西街丽景国际花园酒店沐足城B座7楼
达龙量贩式KTV,0752-8267888,惠东县大龄镇东进大道2号
K影PARTY量贩式KTV,0752-2371288,惠城区麦兴路7号景园酒店3楼（麦地路、麦岸路、麦雅国际）
友间射箭馆,0752-2621991/13322621991,惠城区桥东路南六巷十九号三楼（公用事业局旁边）
c＋密室逃脱,15899525262,惠城区鹅岭南路中国银行旁
海王星沐足会所,0752-2696633,惠城区河南岸逸龙大酒店左侧欢唱100电梯上6F
康美爱家盐蒸养生馆,0752-3321965,惠城区陈江金湖路66号（金柏悦酒店斜对面）
金泰连锁(吉隆店),0752-8684328,惠东县吉隆镇吉黄大道蜀味居6楼
大玩家(惠州大亚湾万达店),0752-5588013,惠阳区万达广场2楼
龙光城戴斯酒店?游泳池,0752-5280866/18129531326,惠阳区大亚湾西区西南大道88号
正元堂,0752-8888787,惠东县惠园路145路
k歌惠,0752-3833111/3833116,惠阳区开城大道北安德利旁
志同梦健康会所(仲恺店),0752-2650988/18026569226,惠城区仲恺大道233号（维也纳酒店旁）
世纪会KTV,0752-2287522/2282382,"惠城区惠鹅领南路12号,世纪会大酒店（中国银行惠城支行）"
张老足底,0752-2202796,惠城区惠沙堤一路5号
爱尚纯K量贩式KTV,0752-3556677,惠阳区秋宝路鸿裕百货4楼
北国影吧(花边岭风尚国际店),0752-2280458/17722920800,"惠城区麦地路58号风尚国际大厦9F（老天虹旁边,喜茶楼上，入口面对丽日银座侧门）"
尚K量贩式KTV,0752-3769333/3769567,惠阳区大石村旁家荣商场3楼
纳米汗蒸美悦养生会所,0752-3277678,惠阳区淡水镇万顺二路83号四楼（白云公寓）
歌欢唱量贩式KTV,0752-5317555/5318288,惠城区金龙路兴三街14号农商银行旁
大米传奇真人密室逃脱,18029970237,惠城区河南岸街人人乐国商大厦B栋18D
世纪东方城游泳池,13690906931,惠城区水口街道惠泽大道世纪东方城小区内
康星恒温游泳馆,13923655176,惠城区仲恺六路与正大路交口东南角
金山龙庭?无边际游泳池,13250079336,惠城区南岸路冠和金山龙庭（销售中心后面）
芒果电影主题咖啡馆,0752-7777079,惠城区文昌一路9号华贸天地B楼110
宁静致远美容养生馆,0752-2535568,惠城区惠州大道华丽大厦2单元1105室（中国邮政储蓄银行11楼）
凌晨一点密室逃脱港惠店,13590363283,惠城区演达大道7号港惠新天地北区1D栋1801
卡曼昵量贩式KTV(新圩店),0752-3633331,惠阳区新建街聚荟城广场3楼（新圩商业街麦当劳对面）
桂花树足疗养生园,0752-2228151/2223151,惠城区下埔路二号（原城市客栈）
天舞网咖,18300083921,惠城区演达一路20号三环装饰城D区华熙广场03号商铺天舞网咖（靠河边）
新逸酒店KTV,0752-8921888,惠东县惠东大道766号
旧爱Old Love,0752-2366639,惠城区东平东坡路(锦东酒店旁)
源代码全机关剧情密室,13316797110,惠城区河南岸国商大厦a栋17a（花边岭人人乐）
Hi miss原创密室,13126363254/13480555022,惠城区麦地路国商大厦b栋18楼C、17楼B
语轩纳米汗蒸馆,18948595116,惠阳区白云二路268号二楼（浙商商贸城斜对面）
金泰连锁(演达店),0752-2555299,惠城区演达四路1号河南岸德明华府1号楼2层01号
v16,0752-2881616,惠城区和地路演达大道交叉口
鑫元大酒店沐足部,0752-5558026/5558866,惠阳区新澳大道四街6号鑫元大酒店内（鑫元大酒店4楼）
鑫海森(富丽达店),0752-3817818,惠阳区石桥中路富丽达花园门面
郁金香足疗养生园,0752-2166151,惠城区河南岸新岸路星湖苑三楼
惠州市惠城区夜色城市酒吧,0752-2585333/13286255266,惠城区下角东路铺前街润宇广场（杰来饼店斜对面）
谜城真人全机械密室逃脱,13692841477/15986586021,惠城区南坛天鹰大厦7楼美博城旁（原异空间）
乐汀私人银幕,0752-2678009/18127760592,惠城区麦地路69号达利大厦7楼（人人乐对面旺达数码城楼上）
康美有道中医经络养生馆(仲恺店),18344352979/15016047195,惠城区和畅五路万信佳正对面（飞达电脑前进十米）
金诺国际酒店沐足部,0752-7819106/7819139,惠城区麦地东路5号泰豪广场4-6楼
9月6盲人按摩理疗馆(雍逸园店),0752-2816533,惠城区麦地东二路李瑞麟小学综合楼1层3号商铺(建设银行对面)
月亮弯陶艺馆,0752-2161763,惠城区惠黄家塘街63号
御足宫(仲恺店),0752-2651189,惠城区和畅五路欣欣家园F栋（金宝华夏影城，新海关）
一大泓,0752-2299303,惠城区惠州大道小金口段752号维也纳酒店三楼
华爵台球俱乐部,0752-2683588,"惠城区龙丰鹅岭南路5号联通大酒店4楼（金叶酒店,汽车站）"
志同梦健康会所(水口店),0752-2672988,惠城区水口镇水口街道乔弘花园2楼（水口农业银行隔壁）
快乐动力,0752-7385115,惠城区河南岸方直广场4楼
亿嘉国际会所,0752-7776306,惠城区江北三新南路惠州第一人民医院旁
星时空量贩式KTV(白石店),0752-3731299,惠阳区秋长白石村鸿裕市场入口对面1-3楼
皇庭波西塔诺游泳池,15815405044,惠阳区大亚湾澳头进港路43号（皇庭V酒店后面）
珠江东岸游泳池,19875215858,惠阳区龙海二路坪山河大桥旁珠江东岸小区内
一指门中医理疗,13229592432,惠城区后所街27号（明月庵对面）
创艺微影私人影院(凯宾斯基店),0752-2807717/13790778126,惠城区江北云山西路凯宾斯基酒店C座10楼（广发银行旁进）
美人鱼汗蒸美容养生馆,18676763178,惠阳区秋长一带白石塘井市场斜对面2楼（白石不夜城旁）
国尊健生会所(惠城店),0752-2768303,惠城区麦兴路8-16号
V9 BAR,13802870061,惠城区云山东路4-7号
安然纳米汗蒸馆,0752-3779692,惠阳区星河西四路惠通电梯公寓楼上
暮里电影公馆(华都广场店),0752-3777708/3777785,惠阳区淡水镇华都广场四楼（好宜多对面）
天际壹号美发沐足推拿会所,0752-3362111,惠阳区人民六路中梁V城市天际壹号
御足宫,0752-3898189,惠城区陈江大道139号金汇大厦二楼
金麦量贩式KTV,0752-2688830,惠城区小金口兴隆西二街36号天天好商场2楼-3楼凤舞九天金麦量贩KTV(夜市街旁边)
康君游泳中心(东平朗琴湾店),18318923216,惠城区金山立交东平朗琴湾
枫林湾养生园,0752-3398418,惠阳区中山二路中顺公寓A栋1-2楼（万顺商厦旁）
影时代?聚影时光,0752-2506268/13360847735,惠城区演达大道瑞和家园二期8栋6-8铺（瑞峰广场A座旁）
宁氏百年足道,0752-3386881,惠阳区承修三路富丽达花园
星海量贩式KTV,0752-8733338,惠东县巽寮旅游度假区滨海大道黄竹洋皇庭假日酒店旁
卡乐迪连锁KTV(黄埠店),0752-8175886,惠东县黄埠镇人民一路大汇城广场四楼
满格网咖,0752-2555335,惠城区惠沙堤一路水印尚堤大厦2层
卡乐迪连锁KTV(仲恺店),0752-3845889,惠城区惠风五路148号
扬光体育(扬光体育金迪星苑游泳),18565662971,惠城区鹅岭南路110号金迪星苑内（南线客运站附近）
皇朝会水疗(皇冠假日酒店负一楼),0752-3133333,惠城区皇冠假日酒店负一楼
康君游泳中心(江北摩卡小镇店),18318923216,惠城区金石一路德威摩卡小镇内
汉宫养生坊(中信水岸城店),0752-2322881,惠城区文头岭糖房路134号之一（雄记猪肉汤。北方家园。）
昕悦御足馆,0752-3333345,惠城区云山西路凯宾斯基酒店C座五楼
盛歌汇时尚型KTV,0752-3317988,惠城区陈江大道31号鑫月城
康君游泳中心(河南岸瑞和家园店),18318923216,惠城区演达大道河南岸瑞和家园二期底商
康爱美家养生盐蒸店,0752-3320252/15016079916,惠城区锦源街38号
鑫海森(土湖店),0752-3800066,惠阳区金惠大道12号润鑫花园2楼(老天虹商场)
伊思漫诺汗蒸美容养生会所,13669541953,惠城区花边南路27号（五星聚豪园）
星k主题KTV(天安店),0752-3536888,惠阳区人民四路19号天安星河广场大洋生活荟B区4楼
卡乐迪量贩式KTV(比亚迪店),0752-5205556/15220609350,惠阳区比亚迪龙海三路福鑫购物广场4楼
山水华府泳池会所,13691799620,惠城区金山湖九号小区山水华府小区内（山水华府公交站旁，跳水馆正对面）
慧丰量贩式KTV(澳头店),0752-5577958,惠阳区安惠大道23号
光耀荷兰小城游泳池,13536766752,惠城区陈江大道北光耀荷兰小城内
超能游泳馆,13825421188,惠城区群乐路财经职业技术学校南门门口
重庆富侨(维也纳店),0752-3393385,惠阳区人民六路45号维也纳酒店三楼（中天彩虹城对面）
城市一号主题量贩式KTV,0752-2886777,惠城区南岸路26号（港惠新天地加油站旁边雅豪商务酒店2?3楼）
雅居乐白鹭湖体育公园游泳池,13620494610,惠城区汝湖镇雅居乐白鹭湖体育公园游泳池
圣淘沙足疗,0752-2687988,惠城区河南岸新岸路九号
上游地养生馆(华侨城琪锦店),0752-8517118,惠东县华侨城琪锦花园D栋
华涟荟42℃盐蒸美容养生馆,18824582997,惠城区桥东东湖四街东湖花园二号区204A栋21号
星禾量贩式KTV,15916379815,惠阳区人民六路11号百和酒店4-5楼（原华森大酒店）
BFC暴风超感私人影院(惠东汽车总站店),0752-8368999,惠东县惠东大道维也纳国际酒店一楼（惠东汽车总站对面）
时光碎片密室,0752-3268021/13392008224,惠阳区崇雅路9-6号3层（微林通讯旁）
卡乐迪量贩式KTV(新寮店),0752-5579567,惠阳区大亚湾西区龙山二路新亿商业城三楼
首耳(江北店),0752-2812369,惠城区新沥路东金鼎雅苑2栋107号铺
逃出惠州密室,18688344944,惠城区新岸路国商大厦B栋10楼
惠民堂盲人按摩(河南岸店),13502429960,惠城区鸿昌路与银岭路三横街交叉口尚品世家小区正门旁
健康来了养生馆,0752-2363366/15812505308,惠城区同福路一街2号3楼（供电所对面）
张老足底(桥头店),0752-3830235,惠阳区惠阳人民三路
仁爱盲人按摩店,13143074983,惠城区仲恺高新区和畅五路万信佳对面（仲恺溜冰场路口）天众发廊二楼
益康盲人按摩院,13528068086/18129710675,惠城区惠州大道佳兆业中心对面光耀财富公寓102号商铺（光耀橙子与阳光谷和雅园之间）
?名坊美容汗蒸馆,13728850589/13725553319,博罗县公园二路4号罗阳中队旁（近商业东街）
中医经络养生馆,0752-3256820/18814051575,惠城区陈江镇千佳御景居83号（陈江金伯爵附近会展中心附近）
七号密室之废弃的工厂全新主题,13480507241,惠城区麦地路国商大厦B座7楼H号（原废弃的工厂）
星天地量贩式KTV(新圩店),0752-3333858,惠阳区新圩镇农业银行三楼
惠港羽毛球馆,0752-2160333,惠城区下马庄路惠港中学内
新水艺方泳池,0752-3550999,惠阳区北环路东方新城新水艺方大酒店
九头鸟盲人按摩院,0752-2112662,惠城区下埔北二街六号小区（建设银行与国大药店之间直进100米右手边）
新世纪量贩式KTV,0752-6988393/13286245519,博罗县北门路25号新世纪大酒店5楼、6楼
御足宫(华盛东街店),0752-3229189,惠城区陈江华盛东街27号
B-PARTY量贩式KTV,0752-3811333,惠阳区石化大道东（霞涌汽车站）
MIDI咪迪量贩KTV(龙溪店),0752-6900009,博罗县岗湖路万润城购物广场A栋
新明珠美发沐足城(第四分店),0752-2818866,惠城区惠州大道72号金城广场（佳兆业）
张老足底(淡水店),0752-3776585/13825461366,惠阳区淡水街道金惠大道4号（惠阳大剧院斜对面）
志同梦健康会所(湖滨店),0752-2971988,惠城区惠泽大道环镇路6号
金海养生堂(巽寮湾店),0752-8555688/8555988,惠东县金海湾大道39号金海酒店2F（巽寮邮局、广播电视对面）
鑫肽养生馆,18718660057,惠城区陈江镇仁爱街12号一楼（近甲子路）
千寻真人逃脱密室,13421633098,惠城区麦地路国商大厦B栋5楼A/H
新明珠美发沐足城(第三分店),0752-3368866/3369699,惠阳区金惠大道广成商务大厦一、二楼
张老足底(城市丽景店),0752-3263218/13530325360,惠阳区淡水开城大道南134号（联诚城市丽景底商）
耳道连锁(惠州麦地路店),0752-2606806,惠城区麦地南路2号金田苑EH111号铺（鸿润花园东门）
月牙泉美食水汇,0752-6685999,博罗县园洲大道1755号上南中心广场4-5层
耳道连锁(方直广场店),0752-2555655,惠城区河南岸环湖一路16号金山湖丹荔园1号楼2单元08号档（中国银行旁）
院子游泳馆,0752-3073808,惠城区三环路水口段6号海伦堡院子（维也纳酒店斜对面）
乐坛量贩式KTV,0752-6816168,博罗县福园路与圆洲大道交汇处上南中心广场三楼
张老足底(惠东华侨城店),0752-8808168,惠东县惠东华侨城华景路文化中心对面（惠东住房公积金管理处）
焦点酒吧,0752-7778887,惠城区惠风四路仲恺大世界三楼
天地合KTV,0752-6222178,博罗县罗阳一路277号
咏福堂能量养生美容会馆,0752-2226468/17722964688,惠城区麦地东江明珠花园9栋19号档口（麦地红十字医院左侧大楼瑜进楼下建行柜员机左入80米）
华康盲人按摩院,0752-2256602,惠城区桥东街道东湖中路47号二楼（东湖老派出所坊旁边）
好时光盲人按摩,13428038428/13751587907,惠城区陈江街道光华街37号（民乐福商场肯德基正对面街）
小星山外海浮潜(双月湾店),15986513953,惠东县210县道港联酒店旁（港口大桥旁）
康源阁,13537539986/15999533800,惠阳区长安北路26号（裕华金鼎酒楼前行左转100米）或（古井体育中心游泳馆旁）
护康盲人按摩院,0752-2262920/18026538966,惠城区麦地东二路鸿润花园e栋一层10号鸿润花园东门对面（惠州三妹金牛馆（分店））
宏生堂,13422941997,惠城区下板塘桥东路104-1号（水门桥下）
沐尚足浴,0752-3855666,惠城区陈江金湖路3号3、4楼
城市绿洲游泳池,15766308800,博罗县商业东街396号城市绿洲（近东山森林公园）
华涟荟钰吉尔养生馆(钰吉尔店),15089329576/15089329576,惠城区演达二路启明苑F?108号（简妹超市背后）
123休闲会所,0752-5207123,惠阳区龙山十路（灿邦新天地对面）
康美美容养生馆(淡水店),15084884603/13600249567,惠阳区淡水镇南门西街32号2楼（郭大侠烤鱼楼上）
皇庭v酒店康体中心恒温游泳,13075227830,惠阳区进港路43号
首耳,0752-2255065/18026583095,惠城区东湖五街东湖花园三期（中国银行东湖分行旁边）
创艺微影私人影院(步行街店),0752-2150540,惠城区西湖步行街太阳城2楼
慧康养生馆,13542793309/18211386768,惠城区新沥路22号天泽名居B栋1层06号
天悦大酒店棋牌室,15767345250,惠城区麦地路22号天悦大酒店6楼
上医堂中医馆门诊部,18026674407,惠城区演达大道世纪铂爵东莞农村商业银行首层（曼哈顿旁）
天然纳米汗蒸养生馆,0752-5183831/13925539805,惠阳区龙海三路好又多百货农贸市场对面
伯仁堂修脚(鸿润花园店),0752-8475000,惠城区麦地东二路鸿润花园B栋
康美爱家养生汗蒸馆,13352658325,惠城区惠环47号平南村小区93号（通记酒楼旁）
中医理疗盐蒸馆,0752-3256820/18814051575/15113217609,惠城区御景路御景华城二期女人街84号商铺
红馆量贩KTV(四角楼店),0752-6832777,博罗县小金口镇金罗路四角楼童记金惠园砂锅粥楼上（长城学校往前600米）
凯莉斯顿会所,0752-8288088,惠城区白泥二路1号（浩瀚酒店三楼）（逸龙酒店旁直入50米）
极境SPA主题养生旗舰店,0752-3727888,惠阳区上塘路石园东街118号
北国影吧(港惠华阳店),0752-2206186/17722918600,惠城区演达一路华阳大厦6B（金柜楼上）
德正堂,0752-2255309/15986586706,惠城区东平东湖西路105号2楼（翔升宾馆对面）
白日梦影吧,13809690350,博罗县江东南路东山公园北广场东商铺114号（芳庭修身堂隔壁）
脊安堂,0752-3358602/13005466593,惠阳区永兴路花样年别样城36栋108商铺
翡梵酒吧,0752-2284399,惠城区惠沙堤一路滨江大厦堤上一层商铺
玉和休闲沐足部,0752-7825333,惠城区惠州大道46号
莎莎中医养生会所,0752-3777312/15113318155,惠阳区淡水镇南门西村四巷35号
城市英雄(鑫月广场店),18565165841,惠城区陈江大道中鑫月城欢乐海湾二楼
THE ELEMENT?Y元素,15016055676,惠城区演达四路德明华府107号（劲健足球场旁）
悦耳专业采耳理疗会所(悦湖会店),0752-2588286,惠城区环湖一路升利悦湖会（兴业银行旁）
耳道连锁(丽江花园店),18129588337/13824225609,惠阳区广场西路丽江花园北区2栋14号铺
玉海养生馆,15768785816,惠城区下角中路9号（湖畔花园后侧，中海盲人按摩旁）
中医理疗(富川瑞园店),0752-5914698/13927325720,惠城区仲恺大道富川瑞园（小区内）7栋1楼104（河边中间5号门进去往左边走100米左右）
脊康堂脊柱经筋养生馆,18688337894/13428088338,惠城区麦地东路玉兰花园E栋11号铺二楼（鑫港隆旁边）
惠州市惠城区皇朝休闲会所,0752-3269666,惠城区陈江大道中18号
黑曼巴拳馆,0752-3106668,惠城区演达大道42号（公安局惠城区分局旁）
匠心创意手工diy体验馆,13169598882/13829949969,惠城区花边北路11号盛世清华首层（军分区招待所）
普康堂养生馆,0752-2326176,惠城区鸿昌路群芳苑公交站
鲁惠量贩式KTV,15986996614/13516680115,惠城区演达一路12号
扶仁堂健康养生馆,0752-2370896/15916935862,惠城区横江四路5号德伟大楼5楼
天之大足疗&美容养生馆(亲水湾店),0752-6537085/13802358658,惠阳区龙海二路与龙山十路交口亲水湾北商铺中段（123休闲会所旁边停车场内50米处）
久仟久足疗养生会所,0752-2771588,惠城区云山东路31号丽日君颐家园
耳界?首耳,0752-3266280,惠阳区淡水白云二路惠阳丽江花园2栋13号商铺
丽豪汇休闲会所,0752-2870999,惠城区惠州大道江北段116号
南湖盲人按摩院,0752-2210368,惠城区南坛南路20号301（原工商局对面）
美乐迪量贩KTV,0752-8337789,惠东县巽寮旅游度假区天后宫酒吧街12栋
惠兴盲人按摩,0752-2856501/18927308661,惠城区三环北路28号海伦堡花园4-6栋1层50号
江南御都游泳池,13352638959,惠城区环镇路江南御都（镇政府对面）
四季健康养生,0752-6573146/18820745196,博罗县建设西路317号（君兰酒店对面）
名爵台球棋牌俱乐部,0752-3330147,惠城区东湖西路51号阳光100商场2楼（东平市场公交站，火车头画室楼下）
御康泉沐足中心,0752-8803588,惠东县河南路155号
珍草堂御足会馆,0752-2231966/13927329625,惠城区菊花二路1-1号
8号party KTV,0752-6682868,博罗县园洲镇沙河大道农贸市场3楼（维也纳酒店门口）
灵轩采耳足疗坊,13286224510,惠阳区淡水镇莲塘东路12号（长安医院或开城大道中国银行金罗采耳对面）
京城国医馆中医门诊部康复理疗科,0752-2828120,惠城区江北江畔花园小区右侧（华贸对面）
世外桃源养生会所,0752-2888361,惠城区惠城区麦地东二路花边南路47-4号
志同梦健康会所(陈江旗舰店),0752-3811988,惠城区惠州惠城区陈江1号装饰城
张老足底(惠东南湖店),0752-8860999,惠东县南湖公园大门旁
金泰连锁(水口华乐店),0752-2770328,惠城区水口惠泽大道5号华乐红A栋1楼（皇冠假日酒店500米）
元和堂养生理疗馆,13824224664,惠东县红岭路119号
荷兰水乡游泳池,13602779289,惠城区环岛二路11-23号光耀?荷兰水乡一期内
六月佳人咖啡烘焙DIY工作室,13532164280/18719197385,惠城区麦地东路1号金点文化广场二楼221室
惠金沐足保健,0752-7119892,惠城区青塘南街吓头井街28号
卡乐迪量贩式KTV(三栋南区店),0752-2591116,惠城区三栋数码园工业园南区嘉宇公寓商业广场3楼
尚城世家泳池,15138434864,惠阳区福利路尚城世家一期青苗会所一层
enjoy悦享健身会所,13480949651,惠城区东升一路中信水岸城中信之家二楼
音乐港量贩式,0752-8787666,惠东县青龙大道黄排城南客运站旁(原名城酒店)
金华悦健康休闲中心,0752-2062088,惠城区下埔大道28号（金华悦国际酒店5-6层）
红珊瑚.唱响KTV,0752-8739222,惠东县巽寮美食街三楼(金海湾大道路边)
首耳(水口店),0752-7666636,惠城区水口街道办事处惠泽大道5号华乐新都A栋1层03号商铺
湖新康盲人按摩,13631969241,博罗县湖镇镇榕苑二巷12号
悠闲谷,0752-8989967/13790769994,惠东县惠莲街万事达华侨酒店旁
军美盲人按摩,15323067549,惠城区斑樟湖一横街27号
汉足唐养生馆,0752-2315988,惠城区和畅四路41号
多拿滋手工DIY蛋糕,15986596433/15119091632,惠城区华贸云尚7号楼32楼09室
慕色酒吧(体育路店),0752-3399798,惠阳区体育路5号
扶元堂祖传按摩推拿,15363892789,惠城区惠风二路富川瑞园8栋108号铺（马过渡河边）
卡乐迪KTV(沥林店),0752-3199108,惠城区沥林镇绿叶酒店斜对面
顺风耳堂?耳道养生(惠阳店),0752-3616961,惠阳区骏景花园二期3栋B103号
沁康元?容儿美容汗蒸养生馆(龙湖店),0752-7837057/15767811683,惠城区龙湖大道南232号翠湖雅苑1号楼1层17号
金耳道(水口店),0752-5859889,惠城区皇冠路6号隆生皇冠花园2?10号铺（百果园旁）
头文字卡丁车馆(罗浮山店),13433465553,博罗县长宁镇广汕公路石下屯路段中旭服装厂对面
鑫丽宫量贩式KTV,0752-5195888,惠阳区龙海三路龙光商业广场对面（老畲生活荟3楼）
正元堂中医养生汗蒸,13168617311,惠城区麦岸路麦地华夏花园A1栋205室（天悦酒店）
城市猎人真人CS,0752-3361638/13692771882,惠阳区西湖愉景斜对面大烟囱
MyFit美菲特健身训练中心,15360986898,惠城区演达一路1号瑞峰广场B座2203A（山水s酒店22楼）（新天虹）
遇见你私人影院,13360856887,惠阳区白云二路192号
尚足坊,13537761619,惠阳区福利路七号（社保局侧面）
麦雅休闲会所,0752-2560881,惠城区麦地路30号麦雅大厦3楼
养生堂经络理疗推油美容会所,18665234468,惠城区演之大一路12号（鲁惠国际饭店旁）
小青花陶艺艺术中心,0752-8860831/18026606338,惠城区惠州大道东平赛格假日广场三楼（东方威尼斯旁）
玲珑苑养生国际会所,0752-2589289/13422404302,惠城区南岸路金山湖11号小区山水华府二期T1栋05-06号商铺
七星量贩式KTV,0752-3333222,惠阳区新圩镇205国道旁七星宾馆3楼
耳道连锁(惠湾花园店),13824225609/15016039626,惠阳区龙山十路惠湾花园1栋101号铺
思邈中医经络养生会所,18928312052,惠阳区坳南路1号
涌泉足疗养生馆,13265620382,惠阳区龙海三路大亚湾龙光城北一期1栋三楼305商铺（沃尔玛旁）
理得康盲人按摩店,0752-8831665,惠东县营利街71号（富丽花园东门斜对面）
好脚丫足道,13554607422,惠阳区桂花路海惠花园29栋119铺
新金钻KTV,0752-3769988/13414632119,惠阳区白云一路50号
益众堂养生馆,0752-2209772/13824272099,惠城区惠州惠城区西堤路北四街5栋20号（下埔小学）
艾足康专业修脚(东湖店),18933597123/15016022296,惠城区惠桥东东湖三街89号116栋18轴至25轴商场之一号商铺
康美爱家经络养生馆(桥东路店),13728974915,惠城区桥东路下板塘公交车站对面
