状元烤场(大学路总店),0371-86062929/400-003-1321,二七区大学路与中原路交叉口向南100米路东永辉超市2楼
青云木艺,18137110930,金水区黄河路与经八路交叉口建文汇美尚城二楼B053
侨飞羽毛球馆,0371-86231888,二七区嵩山南路陇海路交叉口向北50米路西(近工业大学  海天酒店)
百汇卡丁车俱乐部,18538530500,惠济区江山路与黄河大堤交叉后向北4公里路东（有蓝色标牌“黄河浮桥4千米”，右拐后向东600米即到）
艾医堂,18037305481,金水区郑州西太平里银座时代广场A座1112室
樱花树主题私人影院(龙子湖店),13373938223,金水区郑东新区平安大道明理路交叉口博雅广场3号楼
纳米汗蒸(正商蓝钻店),13203715767/15936848243,管城回族区航海路与银莺路交叉口南正商新蓝钻B区6号楼1单元3楼9号（近福都广场）
燃客健身私教工作室(锦艺店),0371-56688960,中原区桐柏北路锦艺国际中心A座1403室
典歌纯嗨KTV,0371-56795955,管城回族区第五大街与经南六路交汇处向南100米路西
零点酒吧,0371-56666235/15638888475,金水区国贸中心2号楼1单元十楼1006室
歌迷量贩KTV(荥阳店),0371-58628001,荥阳市荥泽大道与国泰路交叉口西500米
欢唱量贩式KTV,0371-55329111,管城回族区第五大街与经南一路交叉口九鼎金地广场3楼
城市之光的小酒馆,0371-67121772,高新区长椿路与翠竹街交叉口向北150米城市之光2楼
柠檬之约量贩式KTV,0371-55137888,二七区马寨镇东裕商业广场4楼
蜗牛私人影院(德化街店),17760796679,二七区德化街36号德化?无限城商务楼8楼801室
麦霸量贩式KTV,0371-56693111,中牟县东风路与建设路交叉口西200米路北
Z的7次方逻辑推理馆,13253310361/18638232966,二七区陇海中路与勤劳街交叉口西行100米路北（绿云尊邸3楼A31室，骨科医院旁）
金润足道,0371-66679523,中原区工人路与沁河路交叉口西南角二楼（文化宫路全季酒店东50米）
纯K,0371-55155598,金水区心怡路与金水东路交叉口西北角绿地新都会A座裙楼五层（近郑州东站）
艾幕私人影院(凯德广场店),0371-55933028,金水区中州大道与郑汴路交叉口处西北角凯德广场B座6层
一心推拿按摩馆,17719881921,金水区东风路9号世豪小公馆b座8楼824室
颐和扬州修脚(纬二路店),0371-86688810,金水区经四路与纬二路交叉口向西50米
光华体育中心游泳馆,0371-67993333,高新区瑞达路68号（与合欢街交叉口）
唱吧麦颂量贩式KTV(天旺广场店),0371-55098811,金水区东风路38号天旺广场步行街1号楼4层4-31号（海底捞旁）
顺和堂推拿足疗连锁,13083668709/18638111708,惠济区银通路逸品香山二期北苑南门东50米2楼
天娇足道养生会所,0371-56810358,新郑市文昌路129号（双湖大道与文昌路交叉口广场南侧）
U JUMP蹦床公园,0371-62199905,中牟县西环路88号
Dr?Oscar奥斯卡剧院式酒吧,0371-89959898,金水区金水路未来路125-6号商城饭店院内
韩邦能量汗蒸美容养生馆,0371-86593989/18703878595,二七区大学南路二七万达小区3号院9号楼1单元1503
清荷雅舍,0371-55686639,管城回族区农业南路与商都路交叉口向南30米路西
星力台球俱乐部,17703718551,二七区京广北路186号
崔氏推拿正骨,13938299384,管城回族区法院东街39号（金成国贸与兴达国贸中间路向西120米）
五月花生活馆,0371-63350660,中原区中原路与华山路交叉口西行200米路南
私语空间主题电影院,0371-55850199/15838095919,登封市南环一路和嵩山路交叉口东100米（隆达超市东20米）
良子足道,0371-86035055,中原区航海路与工人路交叉口西北角
阿炳推拿(天赋路社区店),0371-61319863,金水区九如东路与天赋路交叉口向东100米路南
锦绣大地KTV(金水路店),13783645996,金水区金水路与石桥西一街交口市妇幼保健院对面石桥西一街信阳家常菜隔壁（老奥斯卡影院）
御君阁足疗养生会所,0371-60132111,中牟县龙善街宇通和谐家园s3-202号
蜗牛私人影院(二七万达店),15638551365,二七区大学南路二七万达12B写字楼25楼2538室（万达广场2号门向北10米，热风店旁）
壹步手工银饰DIY工坊(国贸店),15617697769,金水区花园路与丰产路交叉口向西200米创意Studio2号楼一单元1309（关虎屯小吃街对面国贸360车库出口旁）
木未影咖,0371-86535295/18739913608,二七区马寨镇同兴街与先锋路交叉口向北100米路东112公交始发站木未影咖四楼（同德肥羊）
ZZ Fondant Cake翻糖蛋糕DIY,18236920687/13663840566,金水区科源路与科明路交叉口向南50米路东万达公馆SOHO4楼3A46（金水万达中心，国贸360）
安然纳米汗蒸会所(科技市场店),18336463603/15837135191,金水区东风路与文化路交叉口西南角欧洲花园罗马座402
乔氏台球俱乐部,0371-55957147/18203610739,金水区农科路33号嘉辰时代公寓3号楼3楼杰拉网咖隔壁
泰美酒店式私人影院,0371-55000501,二七区福寿街与解放路交口西南角正弘凯宾城北头裙房四楼（泰美影院酒店）
名仕足浴,13849863516/15225702230,中牟县郑港四街与郑港十路交叉路口（沃金大酒店西临）
彭世修脚(兴华南街店),0371-65332512,二七区长江路与兴华南街交叉口北90米路东（中国农业银行北50米）
蝴蝶谷古法足道SPA(建业广场店),0371-55075807,金水区中州大道与纬四路交叉口西150米路北
8号汗蒸理疗养生会馆,18103830980,金水区三全路与文化路交叉口西300米路北，安泰金苑8号楼2单元二楼15号
温彻斯特台球俱乐部,17507609060,金水区纬五路38号丽枫酒店负一楼
心诚推拿养生堂,0371-68263116,金水区金水路与经三路交叉口中州智选假日酒店院内F座1楼（索菲特南侧）
大师兄按摩(京莎广场店),0371-60959069/18039338509,二七区京广路与华中路交口向西200米京莎广场C座写字楼1806
方舟足浴养生会所,0371-55151178,中牟县商都大道与通惠路交叉口东行50米方舟酒店3楼
青柠影咖(龙子湖大学城店),15378719257/18537156752,金水区平安大道与博学路交叉口环湖国际1405
艾满人间(南阳路店),13703821472,金水区东风路与南阳路交叉口富田丽景北门2号楼4单元2楼西户
治本推拿堂,13271582329/13271582359,高新区雪松路公园茂儿童茂B座27层2715室（1223号）
星光大道KTV,0371-62660000/62650000,新郑市中华路南段599号
南国静吧,18837156930,金水区花园路丰产路交叉口西50米路北国贸新领地4号楼1单元1302
十八字金手工银饰DIY体验店,13383849788,金水区花园路与丰产路交叉口国贸360一楼中厅北侧
鲜灸堂盲人推拿养生馆,15638837615,管城回族区康平路和列里路交叉口鑫苑世纪东城东苑1号楼2单元608室
千凌网吧,0371-55127136,管城回族区紫东路3号七里香堤内（丹尼斯楼上）
Funfun凡凡酒吧,0371-88889744,管城回族区农业南路与商鼎路交叉口向西50米路北（商鼎路口北侧）
桃源SPA养生会所,17737160353,高新区梧桐街5号（梧桐街与瑞达路交叉口西行200米路北）
拾光私人影咖,0371-55882758/18569905745,新郑市龙湖镇双湖大道高坡岩后街北端（艾龙时代酒店楼上）
音尚KTV,0371-55055335/17703717317,管城回族区黄河南路万通街向南二十米二楼音尚KTV（玻璃一条街）
QE网咖,18538209299/18703970785,金水区商鼎路十里铺街永威翡翠城南门
凌溪阁足浴养生会所,0371-60547870,高新区梧桐街与碧桃路交叉口东400米路南
杨波采耳修脚(天明路总店),0371-58686830,金水区东风路天明路交叉口向北300米路东
大师兄按摩(国贸360店),15517182624/13526501314,金水区丰产路国贸创意楼2号楼一单元501室（近360南门中信银行楼上）
千寻私影,0371-64631222,荥阳市工业路与演武路交叉口向南50米路西
火男网咖,0371-65339222,惠济区清华园路艺贸国际仓东门小青桔酒店大堂上三楼
广济推拿院,13673711242/18937655115,二七区南三环连云路交叉口西北角农业银行西侧小广场（五星电器）
蜗牛私人影院(北大学城店),13223070008,惠济区英才街黄河美邸小区L2号楼7单元4楼西户（小区进门左边第一个单元）
杨波采耳修脚(勤劳街店),0371-53377969,二七区勤劳街与民安路交叉口西南
天然沐足,0371-56616999,高新区郑州高新区瑞达路10柒星城4层01商铺
酷曼VR虚拟游乐中心(北环旗舰店),0371-86030868/18103715591,金水区国基路陈砦花卉市场对面水族世界1楼东南门1025-1029（郑州海洋馆西行50米）
唐宫方经络推拿坊,0371-60561111/18638205504,金水区中州大道与国基路交叉口南250米路西（21世纪东门南50米）
腧经阁中医推拿,18838107601/17737779536,新郑市祥和路（工程学院）
艾幕私人影院(CBD店),0371-53311028,金水区商务内环路与众意路交叉口西北角澳园国际公寓3号楼1单元7层（济州村）
瑞康中医推拿,18838104486,高新区长椿街谦?详万和城小吃街
雅竹坊足道,0371-55056906,金水区花园北路99-8号（花园路与三全路交叉口）
乐美陶文化馆(二七万达店),15538057195/15837121913,二七区大学路与航海路交叉口向南200米二七万达写字楼12B座9层931室
彭世修脚(银基王朝店),0371-65335321,金水区英协路与福元路交叉口向西300米路南（福元路口西侧）
开正盲人保健按摩(开正中医按摩),0371-65992624,金水区黄河路与经六路交叉口向南150米路东
51AREA实景密室逃脱体验馆,0371-65315151/17337135151,二七区嵩山南路与南三环交叉口百姓广场A馆乐享城3楼（百姓奥斯卡影城对面）
华豫SPA,17130533376/17130533362,金水区三全路园与田路交叉口北行100米路东田园新城小区正对面（田园新城，安泰金苑主语城）
九米私人影院,18203625152/18137105766,金水区东风路信息学院路向西100米路北财智名座15楼1508室1518室（近郑州轻工业学院，玫瑰主题假日酒店、乐之港KTV、肯德基楼上）
确菲健身梦工厂(东站南街店),0371-55257156/19937139933,管城回族区心怡路与东站南街交叉口升龙广场2号楼B1楼
新概念足浴会馆,0371-60916091,二七区大学南路166号
荥泽足浴养生?馆,0371-56627555,荥阳市飞龙路与繁荣街交叉口林语美墅
森呼吸真人密室逃脱,13203826297,中原区中原路秦岭路万达广场小区东院4号楼3单元31层3104室（万达广场3号门向南100米）
颐和扬州修脚,0371-86688820/86688810,金水区东明路与红专路交叉口东100米路北（纬二路与经四路交叉口西50米路南）
郭氏中医推拿,13525596488/18638555553,金水区玉凤路与青年路交叉口向南200米升龙凤凰城B区1号楼2单元10楼1008室，【近陈砦花卉市场和永辉超市，永辉超市向南50米，】
彭世修脚(天明路店),0371-55933529,金水区农业路与天明路交叉口向南100米路西
尚都国际量贩式KTV,0371-61289888,管城回族区郑汴路城东路交叉口东北角
大山楂网络俱乐部(伏牛路店),18638629642,中原区汝河路伏牛路交叉口西南角幸福人大药房二楼
青木私人影院,19939293789,高新区金菊街翰林国际丁楼庄园6号楼一单元一楼东户
时光VR馆,18538280753,二七区大学南路与航海路交叉口二七万达12B8楼833室
鼎红游泳健身,0371-67777770,二七区淮北街与陇海中路交叉口西北150米
彭世修脚(政七街店),0371-60207650,金水区黄河路与政七街交叉口向南80米路西
太极按摩理疗中心,17319735673/15138916623,高新区郑州高新区科学大道西四环万科城祥瑞苑10号楼2单元102（进南门对面）
晴亮体育网球羽毛球俱乐部,0371-60900940/15837126823,惠济区英才街郑州师范学院综合训练馆（东校区）
若邻推拿按摩艾灸正骨馆,0371-63395887/17554168007,金水区通泰路与宏昌街交叉口向西150米路北（海知音北门对面）
火箭台球俱乐部(人民公园店),0371-66222147,二七区铭功路143号（格林豪泰酒店院内，人民公园西门）
王大夫中医正骨经络推拿馆,15838213419/15937113419,金水区南阳路群英路路西华林都市家园三期22号楼106室（步行街荣华社区向西100米）
筋骨理疗推拿按摩养生(总店),15137198961/13838376050,金水区经三路与林科路向北五十米路东明鸿新城小区28号楼一楼七户
天行健足浴会所(航海路店),0371-55001122,管城回族区经开第三大街与航海路交叉口东300米路北
鸿韵足道养生会所,0371-55311199,金水区南阳路与岗杜街交叉口向东50米路北
蜗牛私人影院(龙子湖校区店),19937628339,金水区郑州龙子湖博学路薛夏南街姚桥北社区5号楼原18号楼2单元6楼东户（奇缘网咖，红日头超市对面小区）
建业艾米1895电影街(万象城店),0371-56161895,二七区民主路与五彩路华润万家万象城5楼西
彭世修脚(丰产路店),0371-60956138,金水区经七路与丰产路交叉口向东300米路南（丰产路口东侧）
重庆富侨(南彩路店),0371-55669090,二七区郑州市二七区嵩山南路与南彩路交叉口西南侧淘气堡A区2楼
XL真人密室逃脱,15039051432/18203660039,高新区雪松路与迎春街交叉口儿童茂B座11楼1123（汉堡王旁边楼上，屈臣氏对面）
带劲儿酒吧(德化无限城店),15713893979/18137277520,二七区福寿街二七广场德化无限城6楼（23点以后从无限城西边商务楼乘电梯直达）
筋骨理疗推拿按摩养生(国贸店),15188331371,金水区花园路39号国贸新领地4号楼3单元10楼1001室
叶惠美KTV(大学南路店),0371-58615558,二七区大学南路与南四环交叉口都汇广场2层
确菲健身俱乐部(纬五路店),0371-53377175/13633807302,金水区纬五路与政七街交叉口向西50米丽枫酒店三楼
后会有期音乐酒吧,15516913121,管城回族区紫荆山路与商城路交叉口南200米（兴达国贸16楼1620）
苏荷酒吧,15038111061,金水区经三路与纬二路交叉口西北角
皇家豫尊足浴(国基路一店),0371-55563333,金水区国基路与金杯路交叉口国金花园底商
康乐经络推拿,15515857880,金水区未来路曼哈顿商业广场8号楼1单元1203室
老友酒吧,18538302506/17335735543,管城回族区城东路幸福港湾A区门口路北商铺二楼
蜗牛私人影院(国贸店),13073772001,金水区花园路丰产路国贸新领地四号楼二单元305
康愈盲人推拿,0371-68760216,二七区保全街7号
智玩密室体验馆,13525581466,荥阳市大海寺路与塔山路交叉口往西100米（防疫站往东50米，王婆大虾和老店糊辣鱼中间）
刘洁推拿养生馆,18739910203,金水区南阳路96号家天下小区12号楼二单元2楼西户
迷失酒吧,13140022303,金水区花园路与农业路交叉口国贸新领地4号楼2单元1205室（面向国贸肯德基左手边进社区第二个单元）
爱在手心diy创意工作室,15237152870/17319789698,金水区东风路信息学院路西20米明天地产财智名座1908（轻工业学院斜对面）
蜗牛私人影院(橄榄城店),0371-55631233/18037195669,二七区南三环连云路交口亚新橄榄城都市广场C座1503（杨国福麻辣烫橄榄城店楼上15楼）
乔氏台球会馆,13938578351,中原区桐柏北路与建设西路交口南200米路西（众康大药房）
家富足浴(港区店),0371-89907070,新郑市郑港二街与郑港六路交叉口北200米
韵动时代溜冰场(新郑龙湖店),0371-85911063/13015515443,新郑市龙湖镇宝相寺步行街南二街西尽头尚客优北隔壁负一楼（喜德盛自行车往南10米）
kiss温水鱼疗休闲健康会所(富田太阳城),13213042128,管城回族区富田太阳城60号楼D1入口621
云钻音乐酒吧,15738549777/17630039021,管城回族区康平路与永平路交叉口郑东商业中心C区云钻公园中心内
大河锦绣温泉洗浴酒店,0371-63338188,管城回族区经北五路第三大街166号
探探音乐主题清吧(国贸360店),13333982018/18039288808,金水区丰产路与花园路交叉口向西100米路北创意大厦907室
采耳匠?文化体验馆,18538598885/13783486197,中原区中原万达步行街中段3号门对面二楼采耳匠
皇后酒吧,0371-53657788,巩义市建设路89号
重庆富侨(巩义店),0371-89997337,巩义市建设路丹尼斯商城对面3楼
仁艾堂,18737125100,荥阳市索河路万山路交叉口鸿祥德韵1320室
怡年锦时私人影院(中原万达店),15738318796/18703848623,中原区中原中路中原万达广场住宅区6号楼3单元23层2301室（万达商场3号门南50米路西）
御都SPA养生会所,18237184928,金水区燕寿街与未来路交叉口北行200米路西鼎鑫商务酒店旁
彭世修脚(中原万达店),0371-55208377,中原区中原路与华山路交叉口向南200米路东万达金街外街
黄金时代健身(郑汴路店),0371-69376066,金水区郑汴路与英协路交叉口省高检机关服务中心综合楼
御尊足道,19913877194,管城回族区郑州郑州市管城回族区南三环与经开第八大街交叉口向北200米御尊足道
帝鸿阁足道,0371-55578898,二七区郑州大学路郑航街交叉口海悦雅居一号楼（大学路郑航街世纪华联超市对面）
影尚主题私人影院(公园茂店),17329329268/17744636368,高新区雪松路公园茂儿童茂B座（汉堡王右手向北B座V公馆1期）公寓十楼1007室
SPACE CLUB,0371-86633333/18695897686,金水区金水路与东明路交叉口西南角
颐和扬州修脚,15516172157,惠济区香山路与金达路交叉口向东150米路北
金爵台球,0371-63751116,金水区南阳路247号
确菲健身俱乐部(东风路店),0371-89911911/89911811,"金水区东风路与东明路交叉口东南角（二楼）（中州大道,东风渠,东明路）"
泰特皇家足道养生,0371-63660699/18203652335,金水区国基路与普庆路交叉口西南角
麻友记,0371-55966659/13783611444,二七区嵩山路与陇海交叉口往南200米路东
安舒康盲人中医推拿,15188357807/18538190272,管城回族区中州大道航海路富田太阳城东方广场D1座606室
彭世修脚(宝龙城店),0371-53757858,金水区农业东路与九如东路交叉口向西20米路南
彭世修脚(黄河南路店),0371-65335323,金水区黄河南路与兴荣街交叉口向西200米路北（兴荣街口东侧）
杨波采耳修脚(蓝堡湾店),0371-60997922,金水区文博东路与科源路交叉口向北50米路东
经络堂美容保健养生馆,0371-69339555,金水区林科路与东明路交汇处向东200米路北（非常国际南门向西50米）
嗨歌主题KTV,0371-55956215,中牟县郑港十路与郑港七街交叉口向北200米（距福都时代广场300米，富士康K区对面）
金沅足浴(药厂街店),15225115099/15838363193,高新区药厂街与云杉路交叉口南150米（兰寨新城西门旁）
定格光影馆私人影院,18003719063,中原区中原中路171号中原万达写字楼A座20层2040-2041室
行道养生足道,0371-55655355,中原区秦岭路沁河路向北300米路东
张氏推拿按摩,18237170338,管城回族区经北五路9-28号
托玛琳汗蒸spa美容养生会馆(亚星盛世店),13598845533/13298153988,二七区长江路与嵩山路向北亚星盛世家园A区二期五号楼2单元1楼东户
澜悦足道(嵩山路店),0371-58561177/58561199,中原区嵩山路与清江路交叉口向西100米路南
豫和堂足道公馆,0371-55580888/13838511520,金水区纬四路与未来路交叉口西行300米路南
YOYO CAKE DESIGN 优凯蒂(蛋糕DIY),15903660800/13838060800,管城回族区郑州东站创业路绿地之窗尚峰座613室
嘟乐蹦床,18538137970,管城回族区航海东路中州大道交叉口银兴悠客广场3楼东侧
陶忆陶吧DIY手工坊(新世界店),15838088952,管城回族区紫荆山路与商城路交叉口新世界百货二楼二月三十潮流街区上层（近台湾嘿糖奶茶店）
乐8乔氏台球会所,18439502513/15638595385,二七区淮河路嵩山南路关照先生负一楼
富桥足浴,0371-53317333,金水区农科路与文博东路交叉口东20米路南
彭世修脚(东方鼎盛时代店),0371-63223472,管城回族区榆林南路与农业南路交叉口向东50米路北
彭世修脚(中原福塔店),0371-65332513/15514366520,管城回族区航海路与朝凤路交叉口向北500米路东（朝凤路口北侧）
建业艾米1895电影街(锦艺城店),0371-56581895,中原区棉纺路与秦岭路交叉口东行路北锦艺城购物中心C区4层
中意手工银饰DIY工坊(二七万达店),13333717037,二七区航海路与大学路交叉口西南角万达13号写字楼1723室
麦丽萨DIY蛋糕烘培坊(国贸店),18337162150,金水区国贸360广场国贸新领地四号楼二单元三楼307室
藕花深处足浴会馆,0371-55277797/56296999,金水区通泰路与宏伟街交叉口西南角
灸道阁艾灸养生馆,0371-86007873,金水区风雅颂南区二栋二单元二楼（风雅颂南区南门近研发路）
康庭健康养生会所,0371-61175883,高新区梧桐街与碧桃路交叉口向东400米路南
月色撩人高端主题SPA养生会馆,0371-55365061/15936283153,管城回族区商鼎路与东周路交叉口向南60米路西
彭世修脚(宏伟街店),0371-60984857,金水区十里铺街宏伟街向东100米路南
牛牛网咖,18538267333,金水区国基路25号
福阳堂艾灸养生,0371-86506016,金水区北环普罗旺世
兰轩足浴SPA(西区钻石店),0371-88958999,中原区建设西路与华山路交叉口
杨波采耳修脚(兴华南街店),0371-55530986,二七区兴华南街与百姓路交叉口向北50米路西
国医正骨推拿店,19937190987,二七区航海路连云路航海公寓A座505室（c部电梯楼上，楼下开门按0505#）
黑鲸酒吧,15515733199/15290820888,金水区博学路与平安大道交口北行200米路东（正商学府广场1号楼207室）
大唐足道,0371-60293222,新郑市永宁街45号
足之韵足道(黄河南路店),0371-56058366,金水区黄河南路与熊儿河路交叉口路东维纳斯一二楼（熊儿河路口）
安然纳米汗蒸养生馆(仁恒上元店),17703833982,二七区京广南路与长江路交叉口西南角仁恒上元小区8号楼3单元4楼东户
顺和禧spa足浴体验馆,0371-68100777,管城回族区中兴南路与康宁街交叉口西南角（万众大厦北门顺和禧酒店负一楼）
渡口米酒酒馆,15138668918,管城回族区农业南路与万通街交叉口向东150米路南郑东商业中心B区3栋2楼
艺枫足浴养生商务酒店,0371-53305555,中牟县航空港区郑港六路与郑港六街交叉口向南200米路东（新郑机场附近）
天泉足道(火车站天泉大酒店),18703849893,二七区火车站东广场天泉大酒店4楼
颐博园足道会所,0371-61701999,新郑市新港七路与梅河东路交叉口向东150米路南
猫恋私人影咖,15324831686,中原区中原中路117号万达小区西区6号楼2单元1308室（万达三号门南50米）
彭世修脚(纬一路店),0371-55253512,金水区纬一路与经五路交叉口向西50米路南
恒昌足疗会所,0371-55113000,管城回族区紫辰路与南三环交叉口向北200米路西
王氏推拿中心,13598093468,金水区凤鸣路英协路向东100米路南
杨波采耳修脚(二七万达店),0371-55315055,二七区大学中路与汉江路交叉口向西200米路北
彭世修脚(建业路店),0371-60209632,金水区郑汴路与建业路交叉口向北150米路西
徐大个修脚(行云路店),13103832755,二七区长江路行云路南10米路西
邂逅影咖?私影,13140191883,二七区贺江路与连云路交叉口橄榄城都市广场B座10楼1003-1004（香雪儿楼上）
三维24小时主题健身,0371-55263191/17633551104,金水区东风路文博东路交叉口向东100米（世博中心向东100米路南）
新美康中医推拿按摩馆,0371-60208622/15037100705,中原区陇海路与伏牛路交叉口北50米路西新美康综合门诊二楼
良子足浴,0371-67126529/15981822983,二七区亚新美好人家。
梦行健足浴,0371-61898888,惠济区开元路10号27号楼2号（肘子刘）
花园水汇足浴,0371-55155355/15188384040,金水区纬三路经五路5号（纬三路与经五路交叉口向东30米路北）
脉?动力私人健身会所,19937411391/18625557258,金水区天明路66号建业森林半岛21号楼3B（迪欧咖啡楼上）
天空之城网红露台轰趴,18737117425,金水区红专路财源大厦B座21楼
豪爵足道SPA会馆,0371-89998588/89998589,管城回族区心怡路与万通路交叉口西北角
万达花云间私人影院,0371-60336661/18037128327,中原区秦岭路与中原路中原万达写字楼A座12层1234-1237
唯一时光电影小镇音乐酒馆,0371-58697766,管城回族区康平路与万通街交叉口西南角郑东商业中心B区8栋2楼
御足仙指,0371-56526606,中牟县郑庵镇万邦国际水产区万邦酒店2号楼4楼（海食鲜盟百姓火锅隔壁）
中和足道(莲花路店),0371-62585333,新郑市薛店莲花路与薛店大道向西100米路北
浩瀚游泳健身俱乐部,0371-55575333,管城回族区管城回族区陇海东路319号
燃客健身私教工作室(国贸店),0371-58533532,金水区花园路国贸360A座2107室（大商新玛特，丹尼斯花园店）
MT恐怖密室体验馆,0371-63686989/18838128746,二七区二七路太康路（丹尼斯大卫城）向南100米正弘大厦15楼1503（大卫城、北京华联、万象城、大商新玛特）
南山健身会所(凯德广场店),15290889981,金水区凤鸣路与中州大道交叉口建业置地广场B座10楼
鱼喵喵温水鱼疗休闲吧(国贸360店),18538252667,金水区丰产路国贸360南门中信银行7楼709号
康馨筋骨堂推拿足疗中心(保全街店),0371-86079518,二七区庆丰街与保全街交叉口向东100米路南（京广路口西）
耳海躺式采耳(心怡路店),0371-55011270,金水区心怡路与正光路交叉口东南角111号
青山见 Bar SPA(熙地港店),0371-67121915/15639254707,金水区地德街与地坤街交叉口东北角1-2曾附3号青山见Bar SPA（王府井百货对面）
铭昊私人影院,15639278377,金水区黄河路姚寨路联盟国际16楼
余生网红私人影院(曼哈顿店),13525555924/18339294503,金水区金水路曼哈顿6号楼3单元1803
创艺喵DIY手工工作室,18203605532/18339266875,金水区花园路国贸新领地四号楼三单元403室（国贸360广场肯德基右边小区）
WISEFIT智动健身(CBD店),18625525508/18595608375,金水区商务内环10号金成东方国际10号楼2301室（商务内环与众意西路交汇处）
第竟阁DIY手工品牌店,13526651851/13608692837,中原区棉纺西路王府井百货写字楼B座2209室
崇礼小儿推拿,15838003238/19937759269,中原区西环路23号（西三环与中原西路交叉口绿都城社区卫生服务站）
彭世修脚(绿地老街店),0371-55980528,金水区赋路与天时路交叉口向西30米路南（民航花园北门向东）
彭世修脚(丽江水花园店),0371-60956136,金水区东风路与丰乐路交叉口向南300米路东(丰乐路口南侧)
陈氏正骨推拿,19937778765/13333617113,金水区花园路蓝堡湾三期西门口南行20米路东二楼
彭世修脚(列里路店),0371-63223465,管城回族区东风南路与列里路交叉口向东200米路南
白日梦?私人影院(凯德广场店),13007538674,金水区中州大道凤鸣路西南角凯德广场B座7楼015（德克士必胜客中间B座）
彭世修脚(经五路店),0371-55255836,金水区经五路与红砖路交叉口向北200米路东
黄金时代健身(锦荣店),0371-61280586/13663825822,金水区经五路与纬三路交口东北角中州国际酒店10楼
一手一足甲沟炎灰指甲店,18838287848,金水区金水路与玉凤路交叉口向南120米路西（名门世家小区门口，海底捞正对面）
金富源足浴,0371-63366860/17836980300,中原区电厂路华强广场丹尼斯对面
彭世修脚(普罗旺世店),0371-86587117,金水区普罗旺世地中海商业街9号06号
足管家修脚采耳,0371-53633300,金水区金水区文博东路与东风路交叉口向南300米路东蓝堡湾3号楼底商
24h小飞智能健身工作室(怡丰新都汇店),18736018803,金水区农业路与天明路交叉口西南角（怡丰新都汇二期十二栋二单元一楼103A室）
跨界量贩式KTV,13503459945,金水区经三路农业路向西50米路南
杨波采耳修脚(祥盛路店),0371-55903318,金水区郑州祥盛街与民生路交口东行50米路南
溪水云天洗浴,0371-55698587/17320198885,二七区郑州二七区南彩路
Rock Panda攀岩达人馆,0371-66680728/13783441388,中原区桐柏南路15号（小刚刘新城1号楼奥力莱隔壁）
你的家中医推拿堂,18037322685,二七区人和路升龙国际A区5号楼一单元304室
丽雅中医按摩养生馆,18749889597,高新区万科紫兰苑2号楼2单元703格力一号门斜对面（须水东路与枫香街东50米）
金沅足浴(郑州大学店),0371-63225933/17319727282,高新区莲花街科学大道100号（莲花街与西四环交叉口向东150米路南郑州大学北门西）
黄金时代健身(凯旋门店),0371-60972200,中原区陇海路与桐柏路交叉口凯旋门A座六楼（桐柏路口）
御指仙境足道,0371-63256588,荥阳市工业路与演武路交叉口
金拇指足浴养生会所,13303825229,金水区丰乐路与农业路交叉口向南250米路西（生产路与丰乐路向北50米路西）
锦鑫美妆理疗苑,0371-60229572,中原区桐柏北路锦艺城一期2号楼1-1402
彭世修脚(顺河路店),0371-63223470,金水区东明路与顺河路交叉口向西200米路北
杨波采耳修脚(金城时代广场店),0371-60993922,金水区黄河路与姚砦路交叉口金成时代广场7号楼路南大味城隔壁
百富源足浴养生会所,0371-56079111,二七区政通路庆丰街交叉口西北角建设银行楼上3楼
D.L手作研究室,13523450172/15036069741,金水区农业路国贸酒店公寓一号楼二单元30层3016号
东方楚艾艾灸馆,0371-63331867/17093668699,管城回族区紫荆山路与商城路交叉口华林新时代广场12楼1237室
梧桐阁养生会所,15093353660,中原区冉屯路与农业路交叉口向西300米路北（梧桐新语建行楼上）
TOP健身工作室,13140179250/13949073888,中原区中原中路万达广场3号门向南30米（新华书店）
晋达时代影院,15038011733,中牟县文明路
艾元堂古法艾灸馆(正商蓝钻店),18039286286/13598838845,管城回族区航海路未来路交叉口向西200米路北正商新蓝钻A区1号楼1602（建设银行向西50米）
轻奢私人定制别墅聚会轰趴馆(21世纪店),18173156093,金水区国基路湖适21世纪社区美墅加州风情30号楼
I'm not备胎音乐酒馆,18222736777,金水区郑汴路138号英协广场A座工商银行北
迷途密室逃脱,13938432131/15890048018,二七区万象城南门对面汇港新城1号楼2单元二十七层2701室
彭世修脚(凤凰茶城店),0371-65345776,金水区未来路与青年路交叉口升龙凤凰茶城三号楼
杰克工坊密室逃脱,13526566862/17737777404,管城回族区郑州管城回族区紫荆山路商城路金城国贸707室
香水怡人足浴按摩spa养生会所,15136112400,金水区文化路北环路向北200米金晨嘉园
彭世修脚(荣邦城店),18137863110,高新区白桦路与雪松路交口东行200米路北
鹰城鑫地饭店-本木茶馆,0371-69385757/69385858,二七区大学中路120号鹰城鑫地饭店2楼（政通路）
芒果量贩KTV,0371-63371300/15936221057,二七区工人路与汉江路口东北角（帝湖花园东）
头号玩家VR-MZ全息剧场,16638126925,管城回族区二七路东太康路大上海城3楼2期（太康路大上海南门三楼）
艾尚推拿(金成时代广场店),18037791516,金水区黄河路与姚寨路交叉口东北角金成时代广场3号楼二单元七楼707
狗子吧酒吧,18703669407,金水区丰产路73号（7天酒店左侧）
