店铺名称,联系电话,详细地址
灵素养生会所,0311-82881515/13113030555,长安区华清街与丰收路交叉口西南角
中济堂脊椎疏理养生专家(国仕山店),18503206389,裕华区裕华区谈固东街与塔北路交叉口西行200米国仕山底商7-103（国仕山北门东行50米）
梦瑶SPA养生会所,17717113473,裕华区建华大街与槐中路交叉口西行一百米路南
勾勾娱乐.团建酒吧派对KTV蹦迪,13021884320/15830110127,长安区中山东路嘉和广场2号写字楼703
宏泰水疗馆,0311-88997299,裕华区槐岭路怀特商城北门
尚水玉足,18931156994,长安区华清北街于石纺路交叉口西行50米路北
半生小清吧,17331143531,长安区和平东路189号名门华都6号楼06商铺
怡鑫源养生馆,15383116028,桥西区工农路中华南大街176号（万豪大厦南侧）
爱尚1天大型足浴养生会馆,18931890277,桥西区维明大街与新石北路交叉口西行208米路北
龙憩轩足浴,0311-85936666,桥西区新石中路与友谊大街交口东100米路北
?元扶正堂,0311-85850108,新华区省二院九中街华宁春天南门底商123号
中济堂脊椎疏理养生专家(北郡店),15630168759,新华区赵陵北路上河原著底商（蓝天第四幼儿园对面）
真痛快健康生活理疗馆,15512103204,裕华区翟营南大街塔南路交口西行100米路南恒大名都底商
西部长青四季滑雪场,0311-82205666/82205888,近郊白鹿泉乡梁庄村
琴雅SPA养生堂,17732105497,桥西区建国路翰林观天下17号楼
PARTNER智慧健身,0311-88135888,裕华区石家庄裕华区槐安东路153号永辉超市三楼
清水湾足浴SPA养生会所,13933831557,长安区丰收路与华清街北行100米路西（保利D区东门口）
彭世修脚(机场路店),0311-86332050,正定县石家庄正定国际机场机场路2号（鑫鑫宾馆一楼）
康之源按摩调理堂(园明路店),0311-85533161,长安区园明路17号（银宏花苑）
享趣跑男综艺体验馆,13230118411/18832136670,桥西区塔谈大街塔坛国际商贸西区4号门五楼A5-0046（新火车站）
孔超足浴,15369159067,新华区联盟路33号
栖凤轩足浴养生汗蒸,0311-83116661/17633116661,裕华区玫瑰湾3号楼110商铺
遇健健身会所,18330116691,裕华区槐安路谈固西街鑫科国际广场3号门二楼
蓝湾SPA足浴养生会所,17788217277,裕华区建通街与塔南路交口北行100米路东（晶彩中心对面）
逸居养生足道,18032805823,裕华区休门街75号（休门街与裕华路交口南行200米路西）
永芳堂美容养生会所,0311-87206822,新华区联盟路366号
艾满堂养生会馆,15373910387/15393523916,裕华区黄河大道98号东城国际3栋10楼1004号
蓝奈源足浴SPA养生会所,0311-83975851/17333419285,裕华区翟营大街与塔北路交口西行20米路北
壹品阁养生足浴会所,0311-82975015,裕华区建华南大街于东岗路交口南行200米路西
中济堂脊椎疏理养生专家(水云间店),0311-85925185,裕华区富强大街46号（富强公园对面）
益康足道,15175118585,新华区红星街与联盟路交叉口南行50米路东
无间密室,15930176737,辛集市兴华路世纪商城西街2号
中济堂脊椎疏理养生专家(美迪亚店),0311-89163875,桥西区友谊南大街23号美迪亚酒店D座二楼
趴否派对●别墅聚会轰趴馆(西美花街店),15373696780/15075161126,桥西区红旗大街汇新路交口东行40米路北聚合物（北海旅居展厅旁）
益足道,0311-66883399,桥西区石铜路198号
云水阁足道,13931861288,开发区闽江道润锦?如园小区1-102号商铺
四季茶,13931984440,长安区谈固北大街瑞城F区1号楼105底商路北
百变泥匠陶艺手工益智玩具体验馆,13315131031,晋州市中兴路与新园街交叉口北行500米路西
健亨堂足浴,13111501682,桥西区友谊南大街与槐安路交口南行500米路东
若石足疗,0311-82919027/13393313858,平山县中心城区东川街中段路西16号
?拾?健身私教工作室(中基店),15830673697/18330116691,长安区栗中路与平安北大街交口
舒释手足健康护理,0311-66065699,裕华区建华南大街与槐中路交口西行200米路南（万达步行街口内130-162华药大药房对面）
Hi健身生活馆,15131116033/13833132170,裕华区裕东街道槐安路与谈固大街交叉口西美?五洲SOHO
弹立方蹦床健身主题公园,0311-82123666/13903215338,藁城区廉州东路行政服务大厅东行500米路南（绿野仙踪斜对面）
红鸾养生会所,17692161668,长安区丰华路盛世春天底商103
永强正脊,18532131856,裕华区东岗路与雅清街交口北行80米路东
凝蕴足道,17531115668/19943410203,长安区建华北大街与北宋路交口西行50米路北
彭世修脚(槐中路),0311-85362600,裕华区谈固东街与槐中路交叉口西行200米路南
会园春按摩,13933063187,栾城区中心城区华兴街金方城小区25号
铸美健身工作室,0311-66566402/13091034520,裕华区槐安路与育才街交口怀特装饰城三楼3009
彭世修脚(时光街店),0311-68020155,桥西区新石北路与时光街交叉口北行20米路东
益康中医按摩,13653388114,近郊广场街与北环东路交叉口南行50米路东（奥斯卡对过）
联邦足道养生,0311-86888333,桥西区中山路357号
?足阁养生会所,15532486226/19933093419,桥西区维明大街与新石中路交口东北角
INROOM分享派别墅轰趴馆(三宏店),18230499988/17333965556,桥西区汇宁街三宏别墅南36D
世龙世家手足健康护理连锁(正定县晨光小区店),13832320709,正定县晨光路与恒州北街西50米路北（晨光小区路北8号门市）
新甲连锁灰指甲,13363809533,新华区联盟路148号
五行健康管理,0311-66560885/17303217976,裕华区塔南路与体育大街交口东行100米路南
西美五洲酒店●香逸SPA,0311-83079232,裕华区西美五洲酒店28层康乐中心
杏林盲人推拿按摩,15633573590,桥西区汇新路8号（东五里新村东区对面）
家鸿按摩理疗馆,15131176807/13032644025,裕华区建设南大街28号河北梆子剧团家属楼3单元102（河北大戏院南邻）
楼上有人,15175771577/19933110503,桥西区中山路与大经街交叉口中山华府百合园一号楼二单元3303
水旋律SPA养生会所,19930618020,裕华区谈固西街金马路交叉口向西100米路北（临近中国电信）
黯光真人实景密室,0311-66189367/15032855666,桥西区中山东路东方新世界大厦1106室
乐足养生堂,0311-85179107,裕华区翟营大街与鑫达路交口西行50米路北（空中花园南侧底商）
修养堂健康主题超市,15633832616,长安区谈固西街与北宋路交口捷康药房北侧东行50米路南
脊复康盲人按摩,15030102377/13730134408,长安区谈固大街与北宋路交叉口东行200米路南瑞城B区6号楼-1-201室
逝忆谋杀之迷剧本杀密室俱乐部,15335412189,裕华区万达住宅a区6号楼1单元1801
沐康药浴,17831413777,长安区谈固大街与北宋路交口东100米瑞城D区105号商铺二楼
艾堂艾灸养生馆,13582119886/15128199139,新华区民族路华强广场E座1016室（华强电子通讯城）
104派对聚会轰趴,13739771338/13832131989,桥西区友谊南大街与汇丰路交口南行100米路西众创梦工厂D座104
圣家足浴,15176116480,近郊平山平山镇东建材街金辉花园2号（东庄小学  东100米  路南）
小白鲨健身工作室,13722456158/18503213997,桥西区华润万象城A座1308室
宝马会金夜城(宝马会商务会所),15200007656/13780511455,裕华区槐安路与谈固东街交口西北角142号（虾皇，棒棒糖，穿越食空，永辉超市）
起跑线健身工作室(城市中坚店),15200013154,桥西区中山路于大经街交口西南角城市中坚6楼（乐汇城  中山公馆）
恒健身工作室,0311-66030434/18031933458,裕华区翟营大街槐安路交口南行100米路西鸿?商务广场406
优选健身工作室(卓达明郡店),13315168395/18611342791,长安区跃进路与翟营大街交叉口东行300米路北卓达明郡小区东区大门北测
臻足一生SPA养生会馆,0311-89888711/18931985141,桥西区槐安东路69-20号
鑫源足道SPA养生会所,15930128365,新华区中华大街与赵陵北路交口西行200赵二街花苑
安康盲人按摩,15231106268/19932127982,栾城区中心城区阳光园一区9号底商宏达路与新开街东行二十米
Q影私人影咖(石家庄万达店),15333963005/15836666349,裕华区石家庄裕华区槐岭路建华南大街132-88号（建华南大街与槐岭路交口西行100米路北）
鹤松养生,18633020236,长安区华新路18-2号
脊柱梳理(金马路店),15031110426,裕华区金马路大马庄园底商9号上铺（小马新村正对路口东行路南）
up健身工作室(国际城店),13106525391,裕华区谈固东街与槐中路交口西行100米路南（科普楼6楼）
珍艾堂艾灸养生会所,13739702187/18032691096,长安区长征街荣景园13号楼2单元301
寻迹实景推理探案馆,15076327688/18932934130,桥西区平安大街与中山路交口东南角东方新世界中心1801室（勒泰中心西行200米路南）
盛龙国际卡丁车俱乐部,0311-88755772/13832188559,长安区胜利北大街与太平河南岸交口东行500米（石太驾校内）
沐兰汤SPA养生足浴会所,0311-86359020/13001801250,裕华区塔南路43号
姬氏堂鼻炎康复养护馆,15511326130,桥西区裕华西路7号
恒9潮玩?轰趴俱乐部,17733868384/15931088161,桥西区石家庄桥西区新石北路维明大街交口西行300米路南
麦果?绘画之旅,13803112139,长安区石家庄长安区中山东路236号北国先天下四层东南角
深度祛湿排毒足疗店,15031188984,长安区谈北路谈中街口北行50米西
康之源按摩调理堂(中华店),0311-68072492,新华区中华北大街与联盟路交口北行150米路东稻米儿童城底商
君麟SPA养生会所,0311-86327228/13091013036,长安区北宋路与金山街交叉口东北角
仁济林中医正骨,17736928096,裕华区建通街18号现代城小区门口
海云间足道,0311-82911118,平山县中心城区县标北街7号
艺道盲人按摩,15612101570,长安区石坊路与荣华街交叉口西南角保利花园B区底商
蜘蛛网吧,0311-83216986/13623318005,辛集市兴华路金街不夜城北头
花样年华酒吧,13383290393/18032480925,长安区中山东路289号长安广场一层大厅北侧（博物馆麦当劳）
影牙城堡综合馆,15081113647/15930166210,长安区广安大街18号美东国际D座1102
趴否派对●酒吧聚会轰趴馆(中山路店),15373696780/15075161126,长安区中山路与范民街交口南行200米路西（十二中南50米路西）
友聚空间轰趴馆,18831100869/15231129691,桥西区友谊南大街与南二环交口南行800米路东（五金建材旁）
趴否派对?嘿黑潮玩轰趴(先天下店),15373696780/15075161126,长安区方北路与东大街交口东行100米路南负一层（石家庄市第一医院中心医院）
绅渡足浴,15932110656/13393312139,裕华区建华南大街凤凰梧桐苑南区20B201底商
御?林SPA养生会所,15383937962/16631178165,长安区光华路南25号（翟营北大街光华路交叉口西行100米路北）
知足者,13012151501,近郊向阳大街西部峰景5-3-1806
北派修脚(想象国际店),0311-68030346,开发区珠峰大街闽江道东行200米路北
张氏盲人按摩,15235900232/15532100221,新华区联盟路文苑街联强西区95栋2单元101
艾琪养生馆,15831923529,府前路127号月亮湾歌厅斜对过
树澜绘艺自助画室,0311-83582167/15613344756,长安区华新路与建设北大街交叉口风尚宜都4区510
兴韵足道,18713166557/15512778280,裕华区石家庄裕华区建设大街与建强路交叉口东行200米路北
善正堂经络养生馆(北杜店),18931863092,桥西区裕华路时光街北杜新区廉胜南街7排10号
启原力量原力健身私教工作室,13331363355,长安区和平东路7号荣景园3-101-102
善正堂经络养生减肥美容(吉恒园分店),17531158537,桥西区吉恒街吉恒园小区内
东风足道,18632102080/15530112080,桥西区东风路北国超市东20米
馨悦堂养生会所,13731138270,桥西区新石中路玉村馨苑
遇见主题轰趴馆,15832132383,新华区警安路15号河北传媒学院南门东行100米路北
笃朴学堂茶艺茶道,15531153999,桥西区红旗大街西美花城
仙茗养生会所,0311-88982899,桥西区民生路与休门街交口西行300米路北
心满意足SPA养生会所,0311-89855661/15373989109,裕华区方文路裕宁街交口北行30米路西
多肉花园手工坊,17731138699,经济开发区育英路与西苑街交叉口东行200米
彭世修脚(盛邦花园店),0311-68091966,裕华区建设南大街盛邦花园东区9号楼110号（盛邦花园一区东门斜对面）
天下足浴,13333370030,裕华区建通街16号旭景琴园底商
御林骄子养生馆,0311-66060708/13552233305,裕华区祁连街与海河道交口东行200米（同祥城3号门）
金都KTV,0311-66887818,长安区裕华路与翟营大街交口东行50米路北
雪玉spa养生会所,18031109737/18031109337,裕华区东二环与塔北路交叉口西行50米碧溪尊苑小区内
绿荫经络养生会馆,15632302256,长安区谈固北大街与和平路交叉口南行400米路西大院内
温足润络足疗spa养生会所,18911479918,桥西区东风路71?1号（东风路与平安南大街交叉口向西行驶500米）
刘扬扬州修脚,18630116975/15803310303,裕华区方文路
遇见春柳聚会基地,13831111189,卓达太阳城星光大道卓达太阳城又一城广场四楼
乐羽棋牌室,0311-87930075/15833212021,桥西区中山路与泰华街交口西行200米路南石药第一生活区院内
天弘足馆,15200007035,长安区栗康街与健康路交叉口西行110米路北2楼
石榴树下轰趴馆,15933999083/19930553550,上庄镇上庄镇西山花园别墅G558
花样年华足浴SPA养生会所(万达店),13012164313,裕华区建华大街与槐中路交口南行100米路西万达b2北区
田氏足道,18033887002,桥西区平安大街与建胜路交叉口西行150米路北（国土资源局斜对面）
鑫鑫御足理疗馆,18330131686,裕华区谈固南大街和塔南路交叉口东行200米路北
益康足道(丰收路店),15175118585,长安区丰收路与沿西街交口
德康盲人按摩院,13833185300,近郊灵寿镇城东街城内村东北100米
梦幽兰女子spa按摩会所,15131180168,桥西区槐安西路翰林观天下
深渊谋杀之谜剧本杀俱乐部,18526318501,新华区民族路利嘉中心903
天逸?SPA,15097363070,桥西区中山东路乐汇城A座1407
佰人健身工作室,15131127232,正定县常山路16号（常山西路与建安街交叉口东南50米）
智勇欢乐族(空中花园店),13785138399,裕华区翟营大街与塔北路西北角空中花园六楼
谈笑文化录音棚,13653110533/17733849300,长安区东柳路12号罗马艺术园区西排二号（胸科医院附近）
乐播空间,0311-89212888/17778898769,近郊香港路176号
道此一游健康管理会所(长安分店),13333043621/18668131523,长安区和平东路7号荣景园
传奇轰趴真人CS俱乐部,13171589969/13191850261,新华区高东街112号传奇驾校院内
N+1潮趴别墅聚会轰趴馆,19930601509,长安区桃园路桃园别墅北区3排7号
贵足保健,13730109399,裕华区东岗路青园小区89栋
瑞池女社,0311-89806703,裕华区裕华路与谈固大街交口南行20米路西
聚汇吧轰趴馆,13703212167/13582317492,桥西区友谊南大街与汇丰路交口南行100米众创梦工厂D座102
纤秀养生馆(开发区店),15511861618/13933841599,开发区昆仑大街天山熙湖3号楼2单元1107A室
桌迷藏桌游吧,13731076031/13103013120,长安区金山街
悦享轰趴,15512121411/17731118580,长安区名门街1-78号（名都小区1号楼2单元101）
祁仁堂修脚(平安大街店),18931100955,长安区平安北大街78号
腾宇少儿足球培训足球场(腾宇足球培训班),15227888507/15512187901,新华区石家庄泰华街和滨华路交叉口加油站南
纱城贵足道(纱城店),17736485069,晋州市兴商街
佳康经络推拿,15028112966,裕华区天山大街眼科医院对面赵村小区多层10号楼1单元101
艾灸养生会馆,0311-87061666,新华区北新街信通花园南门
康丽仁按摩馆,15630412774,桥西区维明大街与槐安路交口恒大华府公寓4-1-1003室
市井轰趴馆,17333979024,裕华区建华南大街裕泰路东行300米路南（阳光小学对面）
彭世修脚(书香华苑店),0311-85501233,长安区建华大街与和平路书香华苑4号1-103
护康中医按摩,0311-83833587/84301313,桥西区南二环汇锦路丰河苑B区2号楼底商
有本儿剧本杀推理馆,13739775988,长安区体育大街谈南路西行200米碧景园10号楼3单元2803室
合拾定制艺术SPA养生馆,13102851624,裕华区槐安东路万达广场2号公寓8楼818室
鼎尊养生会所(小马新村店),17734563407,裕华区槐安路与谈固西街交叉口小马新村26号楼3单元104室
?里131轰趴馆,13503110310/15931183886,新华区上城路与友谊北大街西三庄别墅13栋
ROOMMATE派对桌游俱乐部,18532170800,近郊东环路25号美术学院东门对面
贵足道spa,13513118109/15750654619,晋州市新华路晋州镇新华路83号
君康台球,13081049999,长安区和平东路建华大街交口东行100米路南
千行画室,15613182312,桥西区石家庄桥西区中山路大经街交口西行100米中山东路4号城市中坚1106室
中医秘方养生馆,17736045630,裕华区谈固大街与槐安路交口小马新村多层5.4.101
足韵按摩馆,0311-68012804/15127093365,长安区翟营南大街13号
纤秀经络养生会所(红旗大街店),13393045020/18377106777,桥西区红旗大街与槐安路交叉口东南角省委振头宿舍一号楼三单元101室（红旗大街与槐安路公交站台边上）
帝嘉蛋糕园DIY,18132627573,新华区中华北大街唯C商务广场B906（近北国超市）
悠幽养生SPA馆,19930619597,桥西区大经街天?嘉鲤6号楼
玉芙蓉养生足道,17503116617,桥西区新石北路379号海棠家园
尊悦?SPA养生会所,18932544007,长安区谈固东街跃进路北行500路东
331轰趴俱乐部,13582119839/15176906375,长安区建华大街与北二环交口西北角瀚轩商务5号楼3层（高营社区卫生服务中心旁）
龙运足道,13028615173,长安区胜利北大街与华新路交叉口北行200米路东
伍福金健康按摩中心,13833137369/18633820534,长安区煤机街与建明路交叉口西行200米路北（建明南路税务局宿舍底商）
百芳经络理疗特效调理,13803391051/13126145262,裕华区万达3号公寓1820
草堂中医按摩,18032824306/15075130800,桥西区新火车站南塔坛二区19号楼2单元101室（塔坛二区北门）
炼趣私人健身会所,18032498555,新华区石清路友谊大街东行200米成功商务办公楼
海云间,0311-82911119,平山县中心城区康乐街35号
善正堂,15081166454,长安区谈固东街嘉和城6号楼1单元3102
正君足浴堂,18931167692,裕华区金马路海德斋东30米
东禾健身工作室,13832186761,长安区育才街与谈南路交口东行50米路南碧景园12号楼1单元2201室
雀罗升古风生活馆,13731165498,开发区天山大街与槐南路交叉口
MEMO BAR,13700311035,桥西区休门街民生路南行150米路西滨江印象古街二楼
水木轩,0311-68072077/15031120877,裕华区谈固西街与东岗路交口南行200m（丁字路口处）
钦园轰趴俱乐部,17717784063/15930880692,新华区学府路136号小巢创意园园区内东侧2号
零叁幺幺轰趴馆,15350555816/13230404326,新华区大郭村新开东路北二排18号
约球吧,0311-84608147/18931160370,近郊常山路157号
乐潮轰趴馆：独栋别墅轰趴,18132650616/17603206166,卓达太阳城宏敬路卓达太阳城一期137栋
燕鑫盲人按摩,13111511313,新华区中华北大街345号
川匠采耳修脚,15803119189,裕华区建强路东岗怡园底商B-6-1（建设大街与建强路交口东行100米路北）
阿俊足道,18131123769,桥西区槐安西路君晓家园9号楼201号（君晓艺术幼儿园前面）
老苗医泡脚超市,15833310698,裕华区绿洲路与通园街交叉口西150米
康缘养生,15333116751,平山县中心城区平山镇平南路与平光南大街交叉口
清怡阁茶楼,13081056829/18033886566,长安区谈固西街跃进路交口西行50米路北
美天?轻健身,0311-88338800,裕华区金马路谈固东街156号
非常道茶坊,18132061229/13231135085,裕华区青园街塔南路交叉口东行一百米路南
洗浴温泉圣地,0311-84455003,晋州市马于镇车站街马于村
钰锈美容瘦身养生馆,18633936709,开发区太行大街湘江道太行嘉苑7号楼二单元204
唐人街KTV,13780511455,裕华区翟营大街与槐安路交口东南角
乐康按摩,13171597310,新乐市中心城区礼堂街81号
左花1981店,18630163089,桥西区中山西路369号
张芳养生会所,15103112189,长安区翟营大街与和平路交叉口东行50米和平世家小区2号楼5单元102室
原始点按摩中心,15931396409,长安区华新路燕都花园底商9-4-121
秦皇古道CS基地,15511113312,近郊上安电力厂南行1500米
农家菜馆农家院,15130661202,近郊西柏坡镇东柏坡村（纪念碑东侧10米）
情锁KTV,13011563185,新华区中华大街市庄路
颈腰康复中心,18631162198/13091031535,平山县中心城区正义路与健康路交叉口北行50米路西（兴达金迪嘉园底商）
青树轰趴,13833381778,裕华区裕翔街与仓盛路西行150米路南
胜佛德农生态观光园,0311-82898196/18633809035,城东外环与北外环交汇处（黄壁庄水库旁）
新天地少儿足球培训,15227888507,新华区泰华街和滨华路交口南行50米
五行养生馆,13393113131,近郊昌盛路与合作街交叉口
昱泰茶仓(城角街店),0311-88960666/15031120877,桥西区城角街与槐安西路交叉口东北100米
弁言金工银饰DIY(正定店),15851816846,正定县临济寺往东500米路东（临济寺东）
彭世修脚养生会馆(灵寿店),0311-82080891,近郊正南南大街
彭世修脚(留村家园店),0311-68039561,桥西区留村西街与仓顺路交口东行150米路北
壹号城堡轰趴俱乐部(五七路店),17734574057,新华区学府路168号小?文化创业园
正雅堂盲人按摩,0311-66635629,新华区新华区柏林怡园南门东行30米
弹者胜道蹦床健身公园,15631132220,桥西区石家庄市桥西区中山西路847号西兴商业广场一层西王地铁站A口出口50米
幻影星空VR体验店(乐汇城店),18911422404/18910841833,长安区中山东路11号乐汇城B1-23-1（呷煮呷烫对面）
尚东泰式SPA精品店,15132260910,长安区谈固东街与跃进路交口瑞府北行240米路东尚东连锁美容美发店二楼
蟠龙湖兄弟连CS野战俱乐部,15373977558/13582013281,近郊蟠龙湖兴凯山庄蟠龙寺东（盘龙寺）
脏腑养生堂,13933869064,辛集市酒厂街西段速尔快递20米
青树轰趴馆,13833381778/13073177489,开发区学苑路中仰陵村中兴西路15号（精英中学南200米）
??水兵兵渔家乐,13933874519/13932133873,近郊015县道
丛中笑SPA养生馆,0311-82975073,长安区石家庄长安区谈固东街智选假日酒店六层
真人cs城市猎人,0311-69006166/15930118266,新华区翠屏西路
追玖台球俱乐部(桥东店),15531180815,新乐市中心城区桥东水泥厂路口桥东建行西邻（红景娱乐城好时光点）
头号玩咖?大空间VR射击轰趴团建(万达店),18632178891,长安区长安区中山东路583号万达广场5层5022号铺
俊bar一家有温度的威士忌酒吧,18630131207,桥西区塔兴路与塔通街交叉口悦家邻里3楼（谷道天楼上）
康泽天下经络养生堂(东岗店),13785171662,裕华区东岗路与建华大街西行100米路北
中医百会专业手法推拿,15613179231,正定县小十字街西北角天宁寺对面
国辉推拿室,13931198516,长安区河纺街7号
禅韵艾灸养生馆,18831108392,开发区珠江大道与闽江道交口珠峰国际35号楼2单元402
老兵私人订制理疗按摩(建设北大街店),15633092474,长安区建设北大街与光华路交叉口北行300米路西翰科大厦1-3-1103室
紫藤西山庄园,13613113499,山前大道山前大道南首西行300米（水悦龙庭前800米）
常信点穴拨穴,15032089807,新华区文苑街8号佳兴园小区
老苗医泡脚超市(南长街店),13930154629,桥西区南长街187号海龙花园西区门口南侧第三间底商
启福堂筋骨养生会所,15512363598,新华区联盟路联强小区东门西行50米路南6号楼
苗式泡脚超市,13331387889,新华区维明北大街与革新北街交叉口东行50米路北
艾灸养生馆,0311-89230080,藁城区昌盛北街与健康路交口
上善中医堂,13582132072,裕华区东岗路与雅清街交叉口南行200米路东（尚东绿洲东门对面）
吴氏正骨按摩店,15831945057,裕华区众美玉兰苑南门东行200米路北9B108号
鲨鱼精酿啤酒(万达店),18132053770,裕华区建华南大街130-89号（万达B2北区北门旁）
按摩调理养生,18333199117,长安区煤机街水工局宿舍楼17号一单元一零一
情夕情音乐茶社,15032058080,裕华区翟营南大街与方兴路交叉口北行200米路西
老苗医养生堂(尹泰家园店),13933112726,桥西区红旗南大街尹泰家园西区13楼底商
一叶沁香茶楼茶舍,0311-89278515/13785118468,桥西区维明大街与华星路交汇处北行50米路东
清园棋牌茶楼,0311-66111297/13932172669,裕华区东风路青园街280号
万有引力,18630111137,桥西区休门街跟北人字街交叉口东行100米路南
金起神养生会所,13718863906,桥西区槐安西路27号
Whisper,18031188016,裕华区槐安东路万达广场万达3号公寓906室
反弹空间蹦床主题公园,15833999950,长安区高营镇御城路88号
勒酷电玩城(勒泰店),13012168966,长安区中山东路172号（勒泰中心5层）
大浪淘沙,0311-89696999,裕华区谈固南大街与槐安路交口南行300米路东
威尼斯水世界(体育南大街店),0311-89665888,长安区体育南大街41号（近裕华路）
鼎峰汗蒸世界,0311-88880320/86106666,桥西区友谊大街和槐安路交口西北角
东海岸洗浴,0311-66616000,裕华区东岗路与雅清街交口北行200米路东
红楼假日酒店,0311-87917788,裕华区金利街25号(南货场北门对面)
Play1家庭娱乐中心(裕华万达店),0311-67796212/400-601-8001,裕华区建华南大街136号万达广场3层
鑫海浴都,0311-85387333,裕华区珠峰大街88号
悦海汗蒸,0311-85863777,上庄镇中山西路958号3514直营店对面
天美汗蒸时代,0311-86999999,长安区胜利北大街7420货运站南行30米路西
辣街养生汗蒸,0311-89653666/89653888,桥西区城角街与育新路交叉口西行20米辣街路南
天鹅湖洗浴,0311-83860333,桥西区中华南大街350号
艺海假日,0311-87713333,新华区和平西路395号（河北省人民医院对面）
Dr.Gravity 弹力实验室蹦床主题公园,0311-88925552/88925553,裕华区海河道9号博深国际文化创意产业园内
巴厘岛水世界,0311-84350777,晋州市世纪街壹号公馆旁
瑞儿水上乐园(东胜广场店),0311-85351351,长安区中山路与翟营大街交口东南角东胜广场3楼
开心动漫电玩城,15369358573,裕华区翟营南大街空中花园联邦购物广场2层大地影城对过
上上酒吧,0311-80663398,裕华区建设大街与东风路交叉口（原卡西诺）（近东方龙大酒店）
恒古足道,0311-89947591,新华区新华路口友谊北大街118号lu酒店北6楼（谷连天门口电梯直达六楼）
莫莉幻想(万象天成店),0311-66600226,桥西区裕华西路15号万象天成3层
灵寿县欢乐谷,17734587874,近郊北环路与城东街交口西北角中天商厦5楼（妇幼保健站 灵寿县地税局）
金伯帆休闲浴场,0311-87871666,新华区友谊大街与新华路交口东行200米路北（近西焦村）
莫莉幻想(东胜广场店),0311-83073868,长安区中山东路与谈固西街交口西南角东胜广场3层
哈乐比儿童乐园,0311-66030966/13733313230,桥西区裕华路与友谊大街交口西南角益友购物中心3楼西部
EscaperClub密室逃离俱乐部(勒泰店),18603276991/15176812666,长安区中山东路勒泰中心A座-818室
华夏良子(建设店),0311-86038028,桥西区裕华路与建设南大街交口南行50米路西（近河北大戏院）
华夏良子(怀特店),0311-67590086,裕华区槐安路与富强大街交口怀特珠宝城四楼北端（槐安路口）
华夏良子(新华路店),0311-66035677,新华区友谊北大街99号（天客隆超市北侧）
鼎足华怡欧派指压SPA养生会馆,0311-68099777,桥西区新石南路与维明大街交口东行100米路南
热海碧海云天,0311-83638999,桥西区开泰街20号（西二环与广源街交口西南角）
嘉佑汗蒸时代,0311-83389777/83316777,辛集市兴华路商业城7号嘉佑广场（商业城大门洞南侧）
炫动动漫城,18931365001,长安区中山路东路与谈固西大街东胜广场4楼
通灵鬼校,0311-85850099,长安区广安大街广安地下商业街H区（靠近世纪方舟）
青瓦台假日酒店,0311-85510000,桥西区维明南大街与新石中路交口南200米路东
锦泰水疗汗蒸馆,0311-87775552,新华区中华北大街与颐宏路交口东南角
华夏良子(时代方舟店),0311-86060181,长安区和平路432号付1号时代方舟A座7号商铺
苏荷酒吧,0311-88888898,桥西区南花园酒吧街苏荷酒吧
莫莉幻想(石家庄裕华万达店),0311-67307176,裕华区槐安东路万达广场二楼2101号
中勘石油,0311-83631502,桥西区新华西路与长兴街交口东南角
西美商务酒店康乐中心,0311-86918141/86918888,桥西区建设南大街6号西美商务酒店6楼（中山路与建设大街交叉口南行200米路西）
Rex Club ?瑞柯斯酒吧(自强路店),13073107810,桥西区自强路与站前街交叉口（老火车站对面）
亚太养生会所,0311-85999667,裕华区青园街与槐中路交叉口亚太大酒店迎宾楼4楼
恒华假日酒店洗浴,0311-83826215,桥西区槐安西路与支农路交叉口（卓达玫瑰园对面）
玉水寨洗浴休闲馆,0311-83839333,长安区谈固南大街与裕华路交叉口西北角（原东都浴城）
Ellen's西餐酒吧(如意大厦店),0311-68056503,桥西区中山东路166号如意大厦三楼（勒泰正南方）
潘多拉大型机械密室推理社,13363330338/15230159200,桥西区红旗南大街与南二环交口西南角5楼（一方阁饺子北邻电梯直达）
畅足会馆,0311-86331626/83508711,正定县燕赵北大街与晨光路交叉口盛世华安东门农业银行南邻（盛世华安农业银行）
童梦园(勒泰店),0311-66768817,长安区中山东路172号勒泰中心3层（fairwhale）
皇家络道,0311-85837777,开发区闽江道218号（张家口银行旁）
手一盲人推拿盲人中医按摩(金马店),0311-69014815/15633671275,裕华区谈固南大街与槐中路交口西行100米路北（27中斜对面）
平衡体检(友谊大街分院),17732833568,新华区友谊北大街与新华路交口北行300米路西东方商住大厦4楼
玩味DIY蛋糕烘焙工作室(勒泰中心店),13147464504,桥西区华锦大厦811室（中山东路与休门街交叉口东行100米路南，勒泰对面中山路南）
宝贝计划儿童乐园,0311-83880933,新华区中山西路83号东购广场3楼
纤纤手足疗养生会馆,0311-85837777,开发区闽江道218号
平衡体检(体育大街分院),17732833568,裕华区体育南大街与裕华路交口南行500米路东盛典商务大厦3楼
酷玩星球狼人杀电玩桌游俱乐部(新百广场店),0311-89103337,新华区民族路77号华强广场东区3楼（新百广场附近）
桌迷藏桌游吧(万达店),400-003-3136,裕华区槐中路308-133（近万达世纪公园）
银河之星洗浴,0311-83078888,裕华区槐安东路与雅清街交叉口
开心河马儿童主题乐园,0311-66516571,长安区丰收路169号保利广场二楼
