企业名称,法定代表人,联系电话,企业地址
兰考俊美种植专业合作社,陈俊美,13781138598,兰考县许河乡张保府村
尉氏县李会助听器大世界,李会姣,18137322219,尉氏县城健康路路南
开封市开发区恒胜百货商行,张超恒,13783909221,开封豪德贸易广场西区37栋19号
兰考县孙波电料灯饰批发行,孙洪波,15890309888,兰考县胜利路北段
开封市祥符区锦毅农作物种植农民专业合作社,张静静,13761730611,开封市祥符区陈留镇邵庄村
开封县西姜寨乡艳娜日用品商店,赵艳娜,15937818971,开封县西姜寨乡史岗村
尉氏县赛福威商贸有限公司邢庄乡岳家村连锁店,岳青春,15716702090,尉氏县邢庄乡岳家村
郑鹏飞,郑鹏飞,13603488124,尉氏县建材市场
开封市永圣水利水电工程有限公司,朱帅帅,18864129999,开封市嘉斯茂数码广场4层17号
河南中原铁道旅游集团有限责任公司开封县开祥路客票代售点,陈新志,0371-20072666,开封县开祥路46号
开封鑫鑫大洋二手车交易有限公司,李洋,13723291786,开封市鼓楼区紫金园小区18号营业房
开封市翼品商贸有限公司,韩军伟,0372-23287919,通许县丽星路中段北侧
杞县尚金养殖专业合作社,王莎莎,13323787226,杞县城关镇东关转盘南
通许县裕通汽车租赁有限公司,芦学良,15937888941,通许县北开发区中段
开封市昌茂果木种植农民专业合作社,文小军,15537895288,开封市祥符区西姜寨乡赵店村
开封新汇闻文化传播有限公司,周洋,15838325872,河南自贸试验区开封片区郑开大道298号自贸大厦B座709室
开封市祥符区云宪养殖场,霍云宪,15937829191,开封市祥符区范村乡范村大街
河南博宇灯饰有限公司,吴摘,0371-23707000,兰考县城区振兴路东侧(西班牙小镇)
开封市禹王台区国宝蔬菜种植农民专业合作社,崔国宝,13683788456,开封市禹王台区南郊乡大李庄
兰考县考城镇阮寨村勇海劳务专业合作社,任宝廷,13937878567,兰考县考城镇阮寨村
杞县苏博商贸有限公司,郭照东,15037895588,河南省开封市杞县南关丁字路口南路西136号
杞县今发家庭农场,王子龙,13598755720,杞县宗店乡刘庄村三堂自然村
开封市开发区固盾防水建材商行,张元其,13781156923,开封豪德贸易广场东区6栋13号
开封市祥宇物业管理有限公司,王卫平,13783998838,开封市郑汴路小王屯西一公里处开封金大地置业有限公司院内办公楼二楼
河南浪博文化传媒有限公司,郭宝民,15226039316,开封市四大街郑开印象城2号楼十三层
兰考秋霞养鸡场,高秋霞,13693902669,兰考县产业集聚区范楼村
开封通韬电子科技有限公司,蒋涛,13723222959,开封市三大街新龙御都国际4号楼2单元1003室
鼓楼区杜氏火锅店,杜世君,0371-23990126,开封市锦绣皇城32号楼一、二层
兰考县康达医疗器械有限公司,孔冬生,0371-26990121,兰考县城关镇陵园路西段
鼓楼区乐家快捷宾馆,朱利伟,0371-25953399,开封市丁角街79号
尉氏县金诺塑料制品有限公司,宋国振,18317829978,尉氏县产业集聚区福园路中段
黄河兰考县韵必达物流有限公司,周江磊,18537878031,兰考县黄河路中段西侧
河南辉煌不锈钢有限公司,冯潇南,18240799387,兰考县三义寨乡蔡楼村
河南省开封市祥符区新华书店有限公司陈留门市部,潘宝利,0371-26681484,开封市祥符区陈留镇南街村
河南中七新能源科技有限公司,潘民智,13033923959,开封市魏都路与一大街交叉口(河南能源化工集团重型装备有限公司院内)
开封市广成农作物种植农民专业合作社,刘红伟,13937883171,开封市祥符区陈留镇闫刘庄村
河南省中州典当有限公司,周风英,0371-27994666,尉氏县铁路北街283号
兰考县建龙商贸有限公司,李瑞霞,18737813069,兰考县城区胜利路北段路西
开封市凯盛钢材有限公司,王瑞鑫,19949379997,尉氏县大营镇梁家村
河南有朋房地产经纪有限公司,卢琨,13837816559,河南自贸试验区开封片区郑开大道296号自贸大厦A座209室住所集中地
开封市飞利搬运有限公司,王宣,18337162737,尉氏县水坡镇东水坡村
开封市通玉企业(集团)玉兴建筑安装公司,张新才,15937812331,通许县人民路南段
兰考县丰泰板材厂,樊青果,15865001850,兰考县孟寨乡何二庄村
洛阳比特科技有限公司,张东明,13849931199,洛阳市洛龙区龙门大道436号1-2幢02
洛阳安途实业有限公司,马聪好,18336308888,汝阳县建设路中段479号
洛阳丰洛商贸有限公司,姚奎川,17530828222,洛阳市洛龙区开元大道258号1幢719
河南泽宸君朗商务服务有限公司,赵弘睿,0379-63923633,河南省洛阳市洛龙区开元大道世贸大厦9-A
河南强豫机械有限公司,马记伟,0379-68716189,洛阳市宜阳县产业集聚区
河南东,王蕾,0379-80850668,洛阳市洛龙区牡丹大道188号湖滨苑9幢117号
洛阳仁圣农业开发有限公司,韩会甫,13503496936,洛阳市伊川县高山镇草场村
河南大有能源股份有限公司新安煤矿,王念红,0398-5801049,新安县石寺镇
河南六建门窗有限公司,孙念涛,0379-63346956,洛阳市宜阳县锦屏镇黄龙庙村
洛阳栾川钼业集团股份有限公司钨业选矿一公司,喻建冬,0379-68658660,洛阳市栾川县冷水镇冷水村
洛阳歌舞剧院演艺有限公司,关理明,0379-63927558,洛阳市涧西区西苑路24号
栾川县百福颐养养老有限公司,赵长水,18037567698,河南省洛阳市栾川县栾川乡罗庄村钼都路
洛阳河洛文化置业有限公司,何付舟,0379-65596969,洛阳市洛龙区古城路河洛文化村幼儿园三楼
伊川县富海钢构有限公司,石洪池,18737907777,洛阳市伊川县鸦岭乡杜沟村
洛阳梃向农业开发有限公司,周航,18837900598,洛阳市伊川县城关镇周村
洛阳市三叶草生物工程有限公司,郑会会,15036986835,洛阳市高新开发区丰华路银昆科技园5号楼-5406
洛阳欧派隆门业有限公司,卫继光,0379-67488165,洛阳市伊滨区寇店镇李家村4组
栾川重渡沟漂流有限公司,张建献,0379-66616888,栾川县重渡沟生态旅游建设示范区
洛阳步特重工科技有限公司,王巧稳,13703792751,洛阳市伊川县城关镇董村
洛阳市润丰生物科技有限公司,李朝峰,15036747000,偃师市高龙镇高崖村
洛阳德江矿业有限公司,常治国,0379-68372006,洛阳市伊川县城关镇鹤鸣路中段
洛阳奕安物流运输有限公司,马柯宾,18135669635,洛阳市伊川县城关镇商都东路南侧
洛阳市百卉绿化工程有限公司,王志民,13803793109,洛阳市310国道(廛河桥东100米路北)
河南林达农业开发有限公司,李林,13803711179,洛阳市涧西区中原人家3号楼1单元1202号
洛阳市成龙商贸有限公司,王金芳,15290525866,洛阳市涧西区南昌路150号六合国际大厦A座1209室
洛阳帅泽机械设备有限公司,李治轩,15515319678,洛阳市伊川县白元镇土门村
洛阳东能机械有限公司,晋社标,13525970538,洛阳市伊川县滨河新区高新四路与洛栾快道交叉口西200米
洛阳智利工程机械设备租赁有限公司,陈连杰,18103888023,汝阳县城滨河小区南门
洛阳骑城置业有限公司,陈园园,13838832319,洛阳市涧西区南昌路天泽大厦1020室
洛阳庚源木艺有限公司,郭留记,15137989777,河南省洛阳市栾川县栾川乡鸾州大道
栾川县昶源休闲度假有限公司,温召辉,17638348999,河南省洛阳市栾川县庙子镇庄子村
栾川县自成休闲度假有限公司,王辰生,13700792811,河南省洛阳市栾川县栾川乡百炉村7组
洛阳超翔锂电驱动技术有限公司,郑涛,18039455777,中国(河南)自由贸易试验区洛阳片区高新区青岛路名门世家15号楼612号
伊川县理想种植农民专业合作社,王东方,15036715330,洛阳市伊川县鸦岭乡亓岭村
洛阳子溪暖通科技有限公司,邓小兰,18726661087,洛阳市西工区纱厂西路2号317室
洛阳清怡农业开发有限公司,陈通,13838885999,孟津县麻屯镇董村
洛阳现良建筑工程有限公司,张现良,18338880789,河南省洛阳市栾川县庙子镇高崖头村
洛阳明富农业开发有限公司,田倩利,18237933999,洛阳市伊川县城关镇洛栾快道与志高路交叉口南50米
洛阳星派数值仿真研究院有限公司,陈飙松,18565677722,中国(河南)自由贸易试验区洛阳片区高新丰华路6号银昆科技园1#楼四层405-18
耐火洛阳建阳,李建阳,0379-67076797,洛阳空港产业集聚区(孟津县常袋镇武家湾村)
栾川县石性种养殖专业合作社,周石性,13949226968,洛阳市栾川县石庙镇上元村
洛阳昂广商贸有限公司,马文豪,15716673777,洛阳市伊川县洛栾快道与高新路交叉口北侧华利电子科技产业园1栋1楼1008室
宜阳县鑫锋商贸有限公司,吴毅飞,13598159221,洛阳市宜阳县城关镇南北小街
洛阳勤平电子商务有限公司,王朝东,13937968094,洛阳市瀍河区新街道路两侧新房家园10-0幢104
洛阳奥赫商贸有限公司,任文龙,15978601333,河南省洛阳市伊川县河滨街道办事处高新九路怡鑫大厦15层1513-1514
洛阳福中商贸有限公司,李秋芹,18737951767,洛阳市老城区凤华街风华苑1幢01
洛阳海晟商砼有限公司,沈俊国,13693816968,洛阳市伊川县彭婆镇东高屯村一组
洛阳淼洁环保科技有限公司,宋建伟,18638477000,洛阳市洛龙区开元大道333号炎黄科技园F4-101
新安县春天养猪专业合作社,侯俊腼,18637927999,新安县铁门镇高平村
洛阳靖俞物资贸易有限公司,邢明琪,13703790896,洛阳市西工区纱厂东路4号3幢2-402号
孟津志民养殖专业合作社,安志民,13703495298,孟津县送庄镇白鹿村
合会洛阳开诚联,孙格力、吕新茹,0379-63120528,洛阳市西工区中州路与芳林路交叉口数码大厦2003室
洛阳碧野青商贸有限公司,张旭峰,13938833088,洛阳市涧西区珠江路商业街6幢0126-0127
洛阳福诺物业管理有限公司,裴小卫,15716672806,洛阳市涧西区龙鳞路1-1-202
栾川县农民之友植保专业合作社,任建庄,13938885515,栾川县栾川乡台上村
洛阳岑立机械设备有限公司,赵旭锋,0379-60197132,洛阳市西工区红山乡红山园区道北六路1号
洛阳恒奥电梯销售有限公司,何祖海,0379-66951208,洛阳市吉利区文化路38号
河南泽兴工程管理咨询有限公司,赵利红,15838864996,河南省洛阳市涧西区珠江路升龙城B区第26幢2123号房
洛阳市硕宝商贸有限公司,李晓辉,13007565050,洛阳市老城区邙山镇苏滹沱村七组洛阳市老城区天启农民专业合作社A区
洛阳天鑫园林绿化工程有限公司,王大展,18539582988,孟津县横水镇红光村
洛阳易锦商贸有限公司,申淑敏,18037568686,洛阳市涧西区名门盛世A座1902
洛阳捷浩电子产品安装有限公司,谢建香,0379-65288055,洛阳市西工区纱厂南路9号院1-2-501室
洛阳一步旅行社有限公司,张会鑫,15822958009,洛阳市洛龙区开元大道258号世贸中心1幢7-A1-1
洛阳纯朴机械设备有限公司,焦晓纯,13373793153,洛阳市西工区王城大道111号紫金城02区0幢4-108
洛阳韧康化工有限公司,吴新红,0379-60217001,洛阳市吉利区207国道东黄河桥北与世纪大道交叉口
洛阳健君机械设备有限公司,杨万香,13698818421,洛阳涧西区大所村坦克路南
河南邦斯拓机电科技有限公司,徐赛赛,13526961208,洛阳市涧西区中弘卓越城D区1幢1单元2704号
洛阳卓耀玻璃有限公司,王勇,13721693967,洛阳市老城区邙山镇井沟村废墟空地仓库南边厂房内
洛阳庭恒商贸有限公司,何建生,15937944449,洛阳市经济技术开发区长夏门街863创智广场1幢2219号
洛阳林茂缘商贸有限公司,程建明,18838855229,洛阳市孟津县城关镇永平路北段
洛阳崇远商贸有限公司,刘崇倍,13939901665,洛阳市宜阳县城关镇水磨头村
洛阳市奥华散热器有限公司,乔杰华,13949222297,洛阳市老城区凤化街西凤华苑门面房1-2-101
洛宁县孟峪村种养专业合作社,王中林,13937929105,洛宁县长水镇孟峪村
伊川县荣德种植养殖农民专业合作社,赵荣德,13526995569,洛阳市伊川县吕店镇赵庄村
洛宁县凡柏科养殖专业合作社,凡柏科,13526987153,洛阳市洛宁县马店镇后乔村
孟津县十八井种植专业合作社,王振西,13183066828,河南省孟津县城关镇桐树凹村一组
河南百特汽车保险代理有限公司宜阳营业部,高倩倩,13939031667,洛阳市宜阳县香鹿山镇香鹿山城市花园商业南区2号
汝阳县康绿蔬菜专业合作社,刘灿智,18737926588,汝阳县内埠乡双泉村
伊川县浪度商贸有限公司,李留霞,13838890318,洛阳市伊川县城关镇新鹏路中段
洛阳轩锐电子科技有限公司,尚会峰,13633793456,中国(河南)自由贸易试验区洛阳片区涧西区蓬莱路2号洛阳国家大学科技园13幢101
洛阳市禹王商贸有限公司,张云霞,13323797671,洛阳市西工区洛浦路1号7幢2-907
洛阳壁不可少建材有限公司,李阳,18638827773,洛阳市洛龙区福拉多正北门1排1号
栾川县弘莱网络科技有限公司,马晓辉,15837952678,河南省洛阳市栾川县城关镇伏牛南路君山汽车城
洛阳奥智工贸有限公司,李得灿,13653895513,洛阳市伊川县白元镇常峪堡村
伊川县爱丰农业种植农民专业合作社,范钦伟,15670709088,洛阳市伊川县吕店镇孙瑶村
新安县黎曌商贸有限公司,张黎雅,13937962540,新安县新城北京路南段
洛阳市曦啸绿化工程有限公司,郭留兴,18037228899,孟津县会盟镇马庄村
洛阳科民网络技术有限公司,马宝成,18837992379,洛阳市老城区春都路205号
洛阳懒人家电子商务有限公司,寇传孜,13693831215,洛阳市洛龙区开元大道248号1幢1903
洛阳伊欣开电气设备有限公司,张阎俊,13083623019,河南省洛阳市洛龙区洛龙大道与花园路交叉口路东疗养院门口815号
洛阳文水文化科技有限公司,刘洋,15896566036,洛阳市经济技术开发区长夏门街32号1幢2224
洛阳柒东商贸有限公司,张东波,15896650808,偃师市顾县镇顾县村320省道旁
宜阳县奔康种植农民专业合作社,关安争,13663026251,宜阳县张午镇尚午村
洛阳灿锋建筑材料有限公司,万灿锋,18237977643,洛阳市瀍河区买家街2号
洛阳赛旭建材有限公司,李新果,15538806781,洛阳市洛龙区滨河南路61号水晶七号1-8幢1-501
洛阳拍来拍去电子商务有限公司,李晓锋,15538891888,河南省洛阳市西工区上阳花园102幢5门101房
洛阳德兴商贸有限公司,梁伟成,0379-62511196,洛阳市老城区唐宫东路4号楼
洛阳龙昱文化传媒有限公司,王义勇,18937971597,洛阳市涧西区南昌路六街坊6号院11幢1-1508
洛阳尊鹏商贸有限公司,董丽勤,13623882823,洛阳市伊川县文化路南段东侧
洛阳足之美商贸有限公司,何亮亮,13383881782,洛阳经济技术开发区白圭北街17号1幢203号
洛阳正扬软件技术有限公司,刘宁,0379-64316566-8000,洛阳市高新技术开发区周山路周山小区15栋6单元
洛阳优凯网络科技有限公司,赵勇,15333799990,河南省洛阳市西工区310国道以南衡山路以西五洲国际工业博览城一期5幢511号
洛阳金木林业有限公司,马森乐,15517991166,瀍河区马坡村瀍白站
洛阳春厚公路工程有限公司,董应,13721682506,洛阳市孟津县城关镇健康路商业大厦北第(1)幢3-506号
河南省港中国际旅游集团有限公司伊川县太阳绿城门市部,姜晓艳,13513847772,洛阳市伊川县城关镇杜康大道南段太阳绿城二楼2-8号
洛阳和美妈咪健康管理有限公司,郭戈,13938829396,洛阳市洛龙区厚载门街306号绿都塞纳春天9幢116号
洛阳新天目无损检测有限公司,李雨涤,13938817862,洛阳市西工区涧东路16号1幢2层西侧北起第2间、东侧北起第2、第3间
洛阳水鸟防水科技有限公司,翟海朝,13233967572,河南省洛阳市涧西区东方四小门面房
洛阳生命草电子科技有限公司,董效强,18567650188,河南省洛阳市老城区太平街39号院8号楼4单元502室
宜阳丰华物流有限公司,宣洋,0379-62902668,洛阳市宜阳县香鹿山镇牌窑村
洛阳市昌裕源商贸有限公司,王少伟,15036382259,偃师市商城街道办事处石硖村7组
洛阳市彦之合商贸有限责任公司,牛小学,13333897837,洛阳市孟津县送庄镇十里村
洛阳亮彩家具有限公司,卢帅林,15103796726,洛阳市伊滨区寇店镇文化风情商业街A-305号商铺一楼
洛阳寨贺商贸有限公司,周亚珂,13721648444,嵩县库区乡翟河村一组
孟津县祥和太阳能有限公司,杨景文,13938890276,河南省洛阳市孟津县送庄镇清河新村3组
洛阳易华呈德环保治理咨询服务有限公司,谢玉华,15937989767,洛阳市孟津县城关镇长华村13组
洛阳羽汐美容服务有限公司,张妞,13838817755,汝阳县城文化路西段汇金城小区五号楼北
洛阳鼎信御安药业连锁有限公司新安县黛眉大药房,许勤子,15838567623,新安县新城西区黛眉地质广场C区一层
洛阳顺水水电暖安装有限公司,武天顺,13938819303,洛阳市高新区创业路清华园小区16-4-201号
洛阳翔宁商贸有限公司,郭伟,13937922226,洛阳市涧西区天津路6号1-614室
洛阳双牛沟固体废物治理有限公司,王顺利,13938860001,洛阳市孟津县朝阳镇后李村
洛阳恩落橡塑材料有限公司,陈瑜,15538561897,洛阳市高新开发区延光路火炬园D座203室
洛阳联赢文化传播有限公司,张诤,15037909927,洛阳市老城区太平街太平公寓1-4-201
洛阳绿泡泡培训中心有限公司,吴静,13333880369,河南省洛阳市西工区陇海立交桥北王城大道178号武威路亚秀丽都一层
洛阳万吉殡葬服务有限公司,郭浩亮,15837987505,汝阳县城关镇伊阳新村128号
嵩县龙宇文化传播有限公司,杜亚森,0379-66312299,嵩县嵩州市场北门二楼
洛阳卢汇商贸有限公司,卢秋花,13044728271,洛阳市洛龙区宝龙国际批发中心09-0166
洛阳市锦赫面业有限公司,周朝阳,15978680878,洛阳市宜阳县锦屏镇河下村
洛阳首泰商贸有限公司,曹龙江,13608651044,偃师市伊洛街道办事处商都路南新新路西和顺广场2幢1单元2916室
汝阳鼎翔养殖有限公司,曹士卫,18137989370,汝阳县三屯镇上河曹家村
栾川县昊东矿业有限公司,苗留柱,15138783888,栾川县叫河乡东新科村
洛阳市伴读教育科技有限公司,王艺超,18037015523,河南省洛阳市西工区王城大道268号院9幢2-2001
洛阳市元鹤堂大药房有限公司,李素娟,18037003340,洛阳市西工区升龙广场C区8-3-105
洛阳卓联商贸有限公司,张波,0379-65288887,洛阳市西工区中州中路6号中泰新城6幢1-1803号
栾川县金宇创收商贸有限公司,申献青,13603889772,栾川县庙子镇庙子街
洛阳世风电器有限公司,王海玲,15603992345,洛阳市西工区东道口路三鑫小区10-108号
栾川交达汽车租赁有限公司,孙保虎,18538359691,河南省洛阳市栾川县城关镇君山路
豪诺洛阳,郭宁宁,0379-60107220,洛阳市吉利区康乐路康乐花园17幢47号
洛阳天策房地产营销策划有限公司,张毅,13603793677,洛阳经济技术开发区开元大道融丰陆巷405室
洛阳市中通速递服务有限公司涧西区中州西路营业部,苏团喜,18625980038,河南省洛阳市涧西区中州西路15街坊2栋4单元102号
洛阳荣克机电设备有限公司,杜小波,0379-60276253,洛阳市高新区孙旗屯乡土桥沟村二组68号
洛阳市康联工业有限公司昌源标准件供应站,魏增云,13503491279,洛阳市西工区芳林路小区2栋4号门面房
洛阳珏璞商贸有限公司,梁允,18639289500,中国(河南)自由贸易试验区洛阳片区中弘卓越城D区悦享华庭5号楼二单元3304
洛阳市雷展服装贸易有限公司,白莉红,15638430155,洛阳市瀍河区新街242号
洛阳宸诚房地产营销策划有限公司,刘晓梅,15537935555,新安县新城西区隆祥城
洛阳银行股份有限公司丽新路支行,张冉,0379-64823456,洛阳市涧西区丽新路丽春路口南侧军干所门口
嵩县黄柏星火生态农业专业合作社,尚玉奇,17737696956,嵩县车村镇黄柏村
中国人寿保险股份有限公司新安支公司磁涧营销服务部,卫环,18737985880,新安县磁涧镇磁涧村
洛阳昱豪商贸有限公司,董雪,0379-6011973,洛阳市西工区金谷翠庭5-3-202号
洛阳百侯旅游开发有限公司,刘妙岩,18336798135,孟津县白鹤镇王庄村
洛阳虹玉粉末涂料销售有限公司,陈玉璞,0379-67765295,偃师市城关镇石硖村5组
洛阳车辰汽车销售有限公司,韩冬,18537929997,洛阳市涧西区安徽路12号万国银座2幢501
河南漫斯新能源科技有限公司,徐鑫华,13721618709,洛阳市洛龙区开元大道333号炎黄科技园F3-303
偃师市沃野农资服务有限公司,郭思佳,18638813222,偃师市城关镇上海国际商贸城B9区101-103号商铺
洛阳大志金属回收有限公司,王恒群,13523795090,洛阳市涧西区芳华路(新型建材院内)
洛阳格强商贸有限公司,李国强,13333871234,洛阳市洛龙区关林大道红旗巷口一区1号楼下平房1号
洛阳昌效林业科技有限公司,王亚飞,0379-65110707,洛阳市伊川县吕店镇拉马店村7组1-101号
洛阳林爵商贸有限公司,张宁,18637947160,洛阳市西工区中州中路与芳林路交叉口数码大厦二期01幢01单元1119号
中国联合网络通信有限公司洛阳市分公司天津路社区服务站,张晓平,0379-63937007,洛阳市涧西区天津路14号院内
宜阳县高村乡辉腾养殖农民专业合作社,宋丽辉,17737911044,洛阳市宜阳县高村乡杜渠村
洛宁县西山底乡卢朝军养牛专业合作社,卢朝军,18137708247,河南省洛宁县西山底乡北村
洛阳硕福商贸有限公司,李克卷,15824955262,孟津县麻屯镇麻屯街
洛阳明茂农业有限公司,马庄,13937910730,洛阳市洛龙区市府西街与政和路交叉口新奥华油燃气6楼607室
洛宁县吉学超养殖专业合作社,吉学超,15138793709,洛宁县小界乡王沟村
洛阳市美兴酒店管理有限公司,王锁芳,13838476730,洛阳市老城区定鼎广场6号楼3号1-3层
新安县阳光畜牧有限公司,梁向阳,13698857155,新安县正村乡王庄村
宜阳县弘道种植农民专业合作社,杨红道,15090184008,洛阳市宜阳县董王庄乡邓庄村
洛阳农村商业银行股份有限公司凯旋路支行,田方涛,0379-61166972,洛阳市西工区凯旋路16号凯旋国际广场
洛阳博达建筑工程有限公司,陈海茹,13938833921,洛阳市涧西区中州西路130号13幢309-310室
洛阳金栾有色金属有限公司,高海涛,0379-60159100,洛阳市西工区中州中路329号1幢1-1504号
中国联合网络通信有限公司洛宁县分公司长虹路营业厅,张寸林,0379-66284000,洛阳市洛宁县回族镇长虹路
洛阳钻通非开挖工程技术有限公司,马辉,0379-65291158,洛阳市高新区翠微路四号
洛阳鼎盛商贸有限公司,张超伟,13007631571,洛阳市站区晶都宾馆二楼202、206、208、210、215室
中国银行股份有限公司洛阳自贸区科技支行,赵晶茹,0379-63108839,洛阳市高新技术开发区河洛路润馨园小区北门
洛阳美全商贸有限公司,谭德盈,18537992233,洛阳市洛龙区通济街龙盛A区4号楼1单元102号
河南百信药业有限公司瀍河店,周萌萌,0379-64616889,河南省洛阳市瀍河区中州东路10号楼前1幢104
洛阳鼎龙文化传播有限公司,李世锋,18638886764,洛阳市涧西区丽新路与丽水路向西100米立新社区二楼
洛阳华琦办公家具有限公司,刘建设,13938816239,偃师市庞村镇西庞村
河南六建建筑集团有限公司第五项目部,郭忠胜,15516362352,洛阳市涧西区中州中路130号院
洛阳市豫洛建筑安装工程有限公司栾川分公司,周红晓,13937962585,栾川县城君山东路
孟津县宇宇养殖专业合作社,王成修,13567870236,孟津县朝阳镇伯乐村
洛阳鹏福商贸有限公司,李文菲,15837972936,洛阳市瀍河区熙春东路南街12号(旭升村五支部)
洛阳市众仁餐饮管理服务有限公司,左林,18638895758,洛阳市西工区唐宫中路85号302室
河南庚源建设发展有限公司嵩县分公司,刘振修,13525986123,嵩县车村镇陈楼村南坪上组
栾川县种子公司庙子乡北凹农资门市,李莉,13838832682,栾川县庙子乡北凹村
河南佑之鸿商贸有限公司洛阳分公司,李桂仙,18937654352,洛阳市涧西区三十八号街坊1幢2-403
洛阳卓括实业有限公司南昌路分公司,王芳勤,13333884999,洛阳市涧西区南昌路139号王府井购物中心第6层商铺
洛阳福鑫居房地产营销策划有限公司,潘艳涛,18939003691,洛阳市洛龙区开元大道219号2幢2-2316
洛阳七星网络科技有限公司,苑喜龙,15538830911,洛阳市瀍河区恒大绿洲182号楼1单元1-801号
河南百家好一生医药连锁有限公司医药健康城,刘文,0379-64821155,涧西区景华路35号
洛阳益健家政服务有限公司,林占山,15603991217,洛阳市老城区陵园东路4号64幢5-502
洛阳徵河汽车运输有限公司,张绪平,13503883255,洛阳市老城区定鼎北路九号院6幢
孟津县麻屯供销合作社生产资料门市部,李业鹏,13525406034,孟津县麻屯镇麻屯街
洛阳河洛生活导报有限公司滨河路分公司,赵莉坤,0379-63357868,洛阳市洛龙区滨河南路九鼎中和湾6号楼底层商铺二楼
洛阳羽蝶医疗器械销售有限公司,王春龙,13253655406,河南省洛阳市栾川县城关镇兴华路南
洛阳戴里克商贸有限公司,王莹,18638805578,洛阳市老城区邙山镇中沟村中电阳光新城碧水湾15幢1单元1-102
北京尚仁崇业教育科技有限公司洛阳分公司,康旭莉,0379-57476170,洛阳市西工区中州中路429号君临广场华府5幢1-904
洛阳兆峰电子商务有限公司,崔燕群,13015588180,洛阳市宜阳县城关镇西街村广源一区二排五号
洛阳盛隆实业总公司保庄粮油门市部,岳雷,0379-67778846,偃师市首阳山镇保庄(207国道旁)
偃师市诸葛供销合作社生产资料门市部,王跃强,0379-69671968,洛阳市伊滨区诸葛镇诸葛村
中国邮电工业郑州公司洛阳通信公司经营部,李宝春,0379-63961941,老城区中州东路114-11号
河南军安建工集团有限公司伊川分公司,康志敏,0379-69599588,洛阳市伊川县城关镇杜康大道北段
洛阳市燃捷燃气有限公司汝阳内埠分公司,张占平,15038504807,汝阳县内埠镇东金庄村北
河南省裕实建设集团有限公司洛阳分公司,邱敬普,0379-64792927,洛阳市西工区王城大道28号新世纪广场1幢1-1516室
伊川兴强蜜蜂养殖专业合作社,李灿奇,13838404276,洛阳市伊川县鸦岭乡石桥村
洛阳路仕达国际旅行社有限公司玻璃厂路门市部,董莉莉,0379-63271906,洛阳市玻璃厂路天力大厦901房
偃师市顾县镇段东村安家装饰行,段飞雷,18336775185,偃师市顾县镇段东村
洛阳市涧西区科信无损探伤服务部,吴跃庆,13598169358,涧西区重庆路0-23-3-302号
嵩县佰润发小吃店,贺长水,17737948752,嵩县城关镇北店街
偃师市缑氏镇马屯村琳娣葡萄园,姚琳娣,15136336686,偃师市缑氏镇马屯村
嵩县张跃斌奥神马电动车门市,张跃斌,13783176268,嵩县城建设路以北香羊羊火锅对面
洛阳市涧西区卓美图文广告部,朱纪涛,0379-65110097,涧西区周山西路都市宜家酒家楼下门面房
宜阳隆康市场推广服务部,杨鸿,0379-65216656,洛阳市宜阳县香鹿山镇产业集聚区洛阳中基华夏医药服务产业园
洛阳市老城区新峰轮胎销售部,王新峰,18637919833,洛阳市老城区310国道葛家岭段华鑫物流园内52、53号
洛阳市瀍河区晓丹日用品商店,高晓丹,15303782315,瀍河区北关村葛家岭门面
洛阳市涧西区海枫名媛美容院,海小峰,0379-64880518,涧西区银川路和顺园15门面房
新安县道祥木制品加工厂,刘小霞,15838827903,新安县磁涧八里村
栾川县栾川乡驰久轮胎商行,刘淑敏,13949202717,栾川县栾川乡罗庄村
伊川县彭婆镇老天瑞水泥制品厂,马华容,15093219883,洛阳市伊川县彭婆镇东高屯村
洛阳市廛河区新恒电脑刻绘部,张新恒,0379-63971607,瀍河区夹马营路28号
偃师市诸葛镇顺利办公家具厂,马顺利,13461077778,偃师市诸葛镇王府村
洛阳市老城区张娟蝎子养殖场,张娟,15236156863,洛阳市老城区邙山镇苏泘沱全蝎产业园B区1号
洛阳市洛龙区鑫城不锈钢加工店,刘俊科,13526978761,洛龙区关林翠云东路
偃师市城关镇上海国际商贸城源通副食店,苏占国,15937957697,偃师市城关镇上海国际商贸城C4区110号
洛阳市老城区新德祥门窗加工部,张志峰,18638860558,洛阳市老城区岳村101号门面房
洛阳市瀍河区建军剁椒鱼头店,王建军,13949253347,瀍河区南车集团生活区西区14-2-301
栾川县城关镇好当家美居专卖,郭富强,18937945556,栾川县城兴华东路
偃师市诚力石料厂,戴金顶,15824971666,偃师市府店镇西口孜村三组
汝阳县上店镇永鑫宾馆,陈延会,13838817106,汝阳县上店镇纬三路
栾川县庙子镇腾龙度假山庄,李建新,13849955600,栾川县庙子镇庄子村七组
伊川县彭婆扬帆水处理滤料厂,刘晓辉,13693809158,洛阳市伊川县彭婆镇彭婆村
洛阳市瀍河区程祥货运信息服务部,凌温强,13592058128,瀍河区神州唐三彩工艺城服务楼B区05号
洛阳市涧西区德美汽车维修服务部,李雷雷,13653885316,涧西区华山路北段宜林置业有限公司4-5门面
洛阳市站区霞光招待所,韩霞子,15516387363,洛阳市西工区金谷园村迎宾门面房
伊川县向阳电气物资商场,宋向阳,15036398089,洛阳市伊川县城关镇杜康大道北段
