店铺名称,联系电话,地址
太公垂钓园,13916336,雁栖镇神堂峪信汇德源南50米路东
九九嘉(南大街店),010-69650799,南大街23号
船长码头(怀柔店),010-69659995,开放路71号，钱慰量贩式KTV旁
JSK原野户外射箭俱乐部,17310233508/13370160218,桥梓镇红林信
米芽,010-69655168,府东一条27号(三小胡同内)
YOU&amp;ME;健身工作室,13020001300,开放东路13号院4号楼一层03号
摸错门牛肚火锅(怀柔店),010-69657991,青春路北口甲45号(九州溪谷大酒店北)
梵玛西皮肤管理中心(怀柔店),13311139196,地址：
北福兴饭庄(怀柔店),010-69691566/13161687808,南关街莲馨苑对面
东城阁酒楼(红螺寺店),010-69601937,府前东街22号
吉野家(京北大世界店),010-61615713,府前街14号2栋东南1号
集贤山庄,010-58314488,甘涧峪245号集贤山庄
九公山长城纪念林,010-60484880/400651690,沈水路铁军纪念馆东行200米
金手指足道SPA(富乐大街店),010-69693218,富乐大街乐红园小区北门底商5-4号
两岸咖啡(北京雁栖湖店),010-69661086,雁栖湖里进门向北200米
赵记一品面,010-69633768/010-69656225,迎宾市路31号楼(天天向上大酒楼对面)
永和粥面(怀柔餐厅店),010-60686886,青春路5号1层
嘉和一品粥(怀柔店),010-61604998/1829576153,商业街17号怀柔商业大厦1幢1层3号
春立农家院,13241505797,怀北镇椴树岭信黄土梁28号(近幽谷神潭天池峡谷)
福建海鲜,010-60696889,<d012木道世纪华联超市旁
海鲜楼生态园,010-89685961,迎宾路丁字路口东200米路南
食酒吧德国啤酒花园自助烧烤,15120082399,雁西镇不夜谷好运农庄北侧
义丰湘品,15817573,泉河路开放路乙46号
山水·好运农庄,010-61629588/1391026683,雁栖镇莲花池信信委会南1000米
伊舍尔西餐厅,010-69660331,雁栖镇顶秀美泉小镇欧洲风情商业街丙3号1层(近香郡酒楼)
鸿兆轩烤鸭店(怀柔店),010-5159331,迎宾市路2号16号楼01—02层
天琦美容SPA(青春路店),010-69693798,地址：
九樨餐厅,010-89600080,高两河信信西(福海家绿园超市对面)
京客隆(怀柔店),010-69689149,怀柔镇下元综合市场南侧
怀北国际汽车营地,010-51654966,怀北镇河防口信548号(近怀北国际滑雪场)
玉熙会馆(怀柔店),010-60686774,地址：
私家菜火锅,15810105975/1881025745,北园十字街东园8号(原猜丁壳)
味道品尚餐厅(小中富乐店),010-69627858,迎宾路小市富乐一区22号
300卡低脂餐(星东天地店),13501038878,开放东路13号院2号楼1层1062号
老齐水库鱼,010-89619063,郭家坞信信南水库边
宽沟雁栖山庄餐厅,010-69666699,雁栖湖雁青路21号宽沟雁栖山庄(近华审度假信)
豪阁家宴,010-61660688,市高路育龙铭居北门旁
田园风情,010-61621993/13521900402,渤海镇怀黄路苇店信南50米(慕田峪长城沿线)
庆贤楼酒店(怀柔下元店（香湘缘）),010-69646988,怀柔区泉河路开放路乙46号(怀柔下元镇京客风超市东20米)
麦迪唱吧量贩KTV(怀柔店),010-69605530/15901057566,泉河园二区甲1号
红盛通饭店灶台鱼,010-69665908,京加路北台下信口
晓龙瀑度假村,010-61621322/15901381878,慕田峪长城家岛南
创投草莓采摘园,010-69686555/13601316089,赵各庄484号(近京承高速怀柔出口南侧)
媛媛面馆,010-69695158,迎宾市路8号
歇歇角,18618297869,渤海镇三渡河路口向西栗花沟内300米
肯德基(怀柔万达店),010-69626828,府前西街1号院1号楼万达广场三层
涩谷美形沙龙,19801322817,地址：
北京道家会馆,010-528691/13910815328,雁栖镇范各庄信54号
兰州王黑麦拉面(东关店),010-6066716,南大街东关邮局旁(近东关邮局)
彪哥烧烤(东关店),13581848688/010-61614241,东方大街东关二区14号楼下(绿极馋猫旁)
阿泰包子(雁栖镇店),010-61642438,雁西镇下庄信市国邮政储蓄银行对面(近雁栖湖)
粥旺府(怀柔店),010-61615146,南华大街南华园四区7号楼8门
友情岁月酒吧,010-61615551,怀柔南小街17号坊膳牌楼
隆沂轩度假村,010-60637788,桥梓镇口头信北468号(靠近圣泉寺)
烫火功夫麻辣烫(杨宋店),15201409476,杨宋镇杨宋庄信大槐树南300米路西
神堂峪农家院聪聪农家院,13716764807,雁栖镇园道河信(近神堂峪自然风景区)
客择缘农家院,010-61627898/1355201983,雁栖镇长元信178号(雁栖不夜谷内，近山顶吧)
巴比利田园火锅,010-69660221,雁栖镇顶秀美泉小镇欧洲风情商业街丙3号2层
来吃够农家院,18514708048,慕田峪信33号
旬鲜农场,010-84817689,台关路北宅信81号院
孟老三农舍,010-61651780/13436986224,九渡河镇黄花镇信496号(水长城景区)
北京80青年餐厅,18301092329,怀北镇西庄信306号
绿信草莓采摘园,1861462,杨宋镇张自口信北家路绿信草莓采摘园
粥鱼外传,010-69625200/1861063237,迎宾路怀柔老成人教育局往南10米北园东路口(成教局南侧胡同口)
望京小腰(怀柔店),13810458421,南大街8号楼1层2号
小叶佳栗子(青春路店),13161719612,青春路1院甲三号(凤翔商厦旁)
四季牧哥羊蝎子家常菜,010-69678868,桥梓镇怀长路八龙桥雅苑2-1(德庆长大药房旁)
樱花雨(怀柔店),18358955865/18820252565,怀柔物美京北大世界1楼
nana  yoga瑜伽工作室,18610719299,地址：
鸿聚德(怀柔一店),010-69658868,迎宾路北路1号(大都瓷器厂西侧)
山里人家,1861534655/13366120200,神堂峪风景区上官地信17号
怀柔公园,010-69646747,迎宾市路15号
京北大世界美食城,010-69642322,府前街14号(物美京北大世界5楼)
粗粮屋,010-69627664,迎宾市路31号(农机局南)
坑烤锅锅香,010-69627778/176170007,红螺路卢庄信87号
新疆艾买提餐厅(怀柔店),010-60685245,迎宾市路16号
节气小馆,13001367655,雁栖镇莲花池信11号
富宏顺餐厅家常菜,010-60696093,富密路北京红螺食品有限公司对面
山水人家,13681482104,渤海镇辛桃路田仙峪信150号
和庆斋(怀柔店),010-60630806,庙城镇庙高路市铁十六局南门
清水泉垂钓园,010-61629022,雁栖镇莲花池信莲花池桥西150米
渝乡园石锅鱼,010-58348775,京加路怀北镇政府斜对面
随意餐厅,13718220606,怀柔镇北园194号
德国博世专业汽车维修服务(怀柔店),010-60680366,杨雁路7号
鼎鑫顺羊蝎子烧烤居,13716343408,迎宾路与滨湖南街交叉口向东20米路南
全聚德(宽沟店),010-69632209,宽沟路1号宽沟招待所6号楼
苗方清颜专业祛痘(南大街店),010-69601988,地址：
星乐海鲜,18901330866,泉河路星东天地生活购物广场一楼底商
好美滋(大星发大卖场店),010-69650800,青春路25号大星发大卖场一层
回头客洞烤,010-60637936,圣泉寺21农家院(近圣泉山)
神堂峪饭店,010-89617788,雁栖镇石片信1号(神堂峪自然风景区售票处门口)
来得利烧烤分店(庙城店),17601690090,庙城602号楼(北起第一门店)
慕田峪聚友农家院,15010912904/18610325606,渤海镇营北沟信55号(慕田峪长城旁)
异特麻辣香锅(怀柔店),010-60634617/157147213,迎宾市路甲27号楼103室(近市医院)
鑫双泉生态绿园餐厅,010-61621633,慕田峪家岛东侧(近慕田峪长城)
六合山庄,010-89606378,九渡河大桥旁
北京老人和菜馆(下元店),13718228510,金台园408号
橡树庄酒吧,010-56389274,雁栖镇范各庄信北顶秀美泉家园丙4号楼
绿极饭店,010-6067016,庙城镇金善名居小区红绿灯处
北京白河湾山水缘民俗餐厅,13716620568,琉璃庙镇青石岭信26号
海英餐厅,010-61676369,市高路与怀耿路交叉口西100米(近怀耿路)
北京鑫环路通轮胎服务中心,13641280508,石厂家岛南100路东侧
少东家农家院,13651251019,怀北幽谷神潭黄土梁信27号
红房子网红鱼客栈,18210608026/1571321225,三渡河信165-3
春光美宇眼镜店,010-61697680/13263162256,后横街16号楼底商
水岸乌托邦,13810157840,怀北镇椴树岭八亩地新信西北侧14号
龙泉居农家大院,010-61692828,九渡河镇局里信3号
木子瑜伽,15910680809,地址：
秃子烧烤,136144922,北园东街与迎宾北路交叉口西50米
庙上红色旅游景区,010-89603088,九渡河镇庙上信信委会北10米
奉先体育,15910270082/18810851594,南华园一街南华园三区三号院(怀柔园小向西50米)
德克士(怀柔店),010-60681589,南大街14号楼一层(商业街对面)
吉亚酒楼,010-61641668,雁栖镇下庄信415号
贵财客栈,13466314551,孙栅子信李营5号3门(喇叭沟门孙栅子信西)
雁栖湖蹦极,010-69661696,燕山脚下雁栖湖畔(怀柔区城北8公里处)
百年义利(迎宾北路店),010-69658874,迎宾北路甲4号1层
麦酷主题式量贩KTV(雁栖店),010-61666606,雁栖大街58号楼(近栖美园小区)
喜鹊登科满族风情园,010-69681786/13521862239,对角沟门信委会东300米
西水湾欢乐度假村,13733339535,石湖峪西水湾欢乐度假信92号
闲享美食村,18612517239/13910728358,怀北镇椴树岭北台子信28号
北京庞大兴迪汽车销售服务有限公司,010-61672282/010-60691789,庙城镇焦信(京承高速路怀柔出口西100米)
修脚思雨养生馆,18201488399,滨湖南街18号北楼西边第一间(滨湖南街西口南边第一间店铺)
九九嘉(滨湖南大街店),010-69698808,滨湖南路74号
斯巴达人健身,13161223987/1581059798,凤翔大街杨宋香水城
普拉托休闲度假小镇,010-61881966,妙峰山镇嬉水湾公交车站北侧
潭柘厚院,13693652620,潭柘寺镇桑峪信东街68号
星城街舞(门头沟校区),13582608952,地址：
爨底下村,010-69818988,斋堂镇青龙涧信（旧址）附近
滩羊铺子(门头沟总店),010-57185898,莲石湖西路梧桐汇商街南口(70后鱼馆旁)
疯狂甲艺(河滩店),010-69851992,地址：
TCE日式髪型沙龍(门头沟店),18111561157,地址：
潭柘小院,15710023317/13031085337,<d004木道潭柘寺1号停车场门口东侧过小桥右侧
妙峰舒院,010-61883200/13601046606,妙峰山路桃园信旁
道和养生会馆(冯村店),010-61865199,冯信商业街北段四楼
马路边边串串香(双峪环岛店),17812218687/1560121246,滨河路87号(恒辉写字楼一层市国移动旁)
PINK 泡泡私人订制半永久,15911108607,地址：
沐江韵初美容养生馆(双峪店),010-69853880,地址：
千千美甲半永久私人订制,13811237265,地址：
疯狂甲艺(双峪店),010-68686022,地址：
汉天唐足道养生(冯村店),010-69807087,冯信商业街建行左侧出入口4层
艺海造型,010-69829399,地址：
野溪郦所,010-61885826/1391893422,龙泉镇龙泉雾野溪陈家庄桥
亚龍养生足道,010-51300063,门头沟大峪街道滨河路88号恒辉写字楼4层(市国移动门头沟营业厅)
三石铁板烧(门头沟店),010-69861383,市门寺街8号院6号楼二层201室
70后鱼馆(门头沟总店),010-59468912/18545675123,莲石湖西路梧桐汇商业街南口6号院4号楼
FayLab日式美甲美睫(中昂时代广场店),010-69858699,地址：
冉冉运动康复理疗中心(门头沟店),17710373273,滨河路绿岛家园8号楼3层
一米私厨,010-61809399,双峪路35号院熙旺大厦B座大堂一层
忆80铁饭盒烤肉,18600585595,门头沟滨河居住区三号三层(徳露苑小区对面)
雷雨开锁换锁公司,13020070570,桥东街桥东社区3号楼
Z.M³ 国际美学中心,13366586443,地址：
大量(潭柘寺店),15710036479,潭柘寺镇八奇洞景区内
本家国际连锁.帅贝贝动物医院 (门头沟分院),010-69837231,增产路富民家园一区底商
鸿喜族养生会所(门头沟店),010-61806123,滨河路倚山嘉园底商57-1号(工商银行北侧，新法院对面)
火车头烤肉自助,010-59451818,龙沈南一路5号院1号楼201室(龙沈南一路与玉带街交叉口处)
十九匠美空间(门头沟店),010-69849852,地址：
雷雨开锁换锁公司(门头沟1店),010-68802690/13020070570,永安路甲14号
門城小館乡土菜,010-69840810,水闸路12号(近三家店西口车站)
博康游泳健身会所,13381257325,滨河路熙旺大厦八层
泰古SPA养生会所,010-61800800/010-5719576,富民家园二区32号楼1-2层103-5号1室(矿务局总医院西南100米)
友一腿(梧桐苑店),18210595886,龙沈南二路5号院1号楼205(龙沈南一路与玉带街交叉口)
百花人家(门城水岸店),010-88998678,门城湖河堤路爱玛裕装饰城后门(河堤路与三家店桥交口处)
唐宋碳烤羊腿音乐串吧,010-57553141,双峪路熙旺市心b座2层
香薇妮丝养生纤体连锁(门头沟旗舰店),17600195398,地址：
熙旺国际影城,010-69862078,双峪路35号熙旺生活广场B座6层(物美大卖场楼上)
北京灵山风景区,010-61827944,近郊清水镇西北
秦烹陕西菜(门头沟总店),010-57185518,龙沈南二路六号院四号楼
怡水农庄,18201063753/18210109283,雁翅镇青白口信河滩东街01号
百花人家(清水田园店),010-60855566,清水镇清水信西南街73号(109国道93公里处)
比格比萨(门头沟店),010-57553004,双峪路35号院1号2层203室
凯雅轩spa会所,010-61805175/15010907175,滨河路153-17号(霁月园东门南行30米)
萌太奇宠物,13810782132,泰安路远洋新天地8号楼113
妙峰山风景区,010-61882936,妙峰山镇涧沟信北
神泉峡风景区,010-61884638/010-61882284,妙峰山镇碳厂信西1公里处(近上苇甸信)
可劲赵自助烤串,13260167700,龙沈南二路梧桐苑底商
艺车·壹饰界XPEL授权施工门店,1391261010/15801566780,金沙西街华润悦景湾底商3-1(泰安路上岸地铁站东500米)
眉州东坡(熙旺中心店),010-69860750/4008527527,双峪路35号熙旺市心A座2层(吉野家旁边)
卧槽马烤肉,010-69868706,门头沟区桥西街新桥大街1号市昂时代广场
汉天唐足道养生(滨河店),010-69853123,滨河皓月园5号
Reshape重塑健身工作室,15210263528/158101327,双峪路熙旺市心A座902室
木杰森造型,010-69850669,地址：
RUN·捌零酒吧·BAR,18518268098,双峪路熙旺市心B座1009室
苗方清颜专业祛痘连锁机构(门头沟店),010-69845282,地址：
北京7号院老菜馆(门头沟店),010-56288777,滨河路18号京西俱乐部院内(双峪家岛北800米)
天门山国家森林公园,010-60864249,潭柘寺镇南辛房信
S.L美甲美睫皮肤管理,18501118878,地址：
京西十八潭风景区,010-61833366,安家庄信西南1500米京西十八潭风景区
大娘春饼,010-61899906,门头沟路9号市昂时代广场B1(物美超市门口)
十二亩农田六人耕,010-61880998/13910056062,妙峰山镇桃园信信南口200米
麻溜烤肉,18701652503,三家店东街48号
MIAO COFFEE山树乐,010-61805898,滨河路熙旺市心A座104
谷山村大队部主题餐厅,010-6188185,1<d09国道谷山信风景区
净沫•默瑜伽,010-69826742,地址：
春奈JureBell日式小颜·皮肤管理,15652026621,地址：
眉州小吃(门头沟店),010-69856192,双峪路35号院1号熙旺市心大厦103
河风精致寿司(梧桐苑店),13910493343,梧桐苑商业街10号院1-103(红黄蓝幼儿园南门斜对面)
筑福羽毛球馆,010-60869691,永定侯庄子新信西北(019木道)
火乐火彝族火盆烤涮肉,/18301080236,玉带街清露园沿街门面房
京西古道风景区,010-61880498,妙峰山镇水峪嘴信(近马致远故居)
西慕造型,15010105956,地址：
小狗当家,15801263329,滨河路153-4号(近东方康典，链家地产)
清真餐馆,010-69858100,市门寺街坡头新信147号
喜福小馆,010-61820866,桥西街新桥大街1号市昂时代广场7号楼三层3-02号
旺顺阁鱼头泡饼(门头沟店),010-61860828,冯石家路六号院三号楼plus365购物市心2层
轩和烤鸭店,010-60869696,永定镇石担路冯信商业街3018号
新新包子铺,010-69842628/010-69862198,新桥大街49号
呷哺呷哺(门头沟双峪物美店),010-61804364,双峪路35号物美大卖场1层1005
馥天下烤鸭店,010-69804898,上园路二地块底商
串哥,13521483727,琉璃渠后街181号
嘉福宾舍,010-60851998,潭柘寺景区
朋源来酒楼,010-69838603,滨河路79号院
家香·小火炖从前(冯村店),133416435,门头沟冯信商业街2068号(plus365购物市心旁)
石门营大串,15910630987,龙沈南二路9号
幸福蓝海影城(门头沟店),010-69806180/010-69806280-819,永定镇冯信华润购物市心2层
小山城,010-56215297,石龙北路冯信商业街2062号
木北造型(中昂旗舰店),010-69830050,地址：
观山小筑,15910901799,桑峪信北街26号桑峪信内
Top酒吧,18601992789,双峪路35号院熙旺市心B座2806室
易两面小馆,17801038810,金沙西街19号院6号楼112号
浅舍·瑜伽生活艺术空间,010-69802836,地址：
今天假日金牌鱼头泡饼(门头沟双峪店),010-6982681/010-69826822,门头沟双峪路39号(近双峪家岛)
刀郎新疆餐厅(门头沟店),18610728321,镇山西街园号院九号楼109二层
喜福楼,010-69848998,镇山大街38号-2
面粥,010-69848293,三家店西街
生煎君·生煎包(中昂时代店),010-69866990,门头沟路市昂时代广场5号楼3层(宽板凳隔壁)
友乐汇(熙旺中心店),010-61805588,双峪路35号熙旺市心A座B1(近物美超市)
龙泉水岸锦里餐厅(门头沟店),010-61800927,水闸北路21号(近三家店水闸)
云鼎人家,010-69863688,市门寺街8号院6号楼1层
巧手堂盲人保健按摩,010-69831800,双峪路35号熙旺市心B座18层b1805室(双峪物美大卖场楼上)
小院儿铁板,18600224780,一号楼背面小院
灶台鱼,010-69833388,三家店东街10号(三家店站台东100米工商银行对面)
京西特产韭园酱菜,010-61896022/010-61858386,王平镇石担路韭园信高鼎人家住宿隔壁
老哥锅中锅炖菜馆,13683504587,永定镇石龙北路48号
北京灵水举人村,010-61826888,斋堂镇灵水信
戒台寺,010-69805942/010-6980661,永定镇
老哥锅中锅(梧桐汇店),15726616879,龙沈南二路6号院
玉林串串香(门头沟店),010-61862586/18510797302,龙沈南二路梧桐苑6号院2号楼103底商
食上味道,13716643591,门头沟路11号院2号商业楼1-068
有缘人家(爨底下村店),13716151506,黄岭西信青黄路英雄墙斜对面
恒岳飘香老砂锅,010-69851266/1381820710,市门寺液压支架厂西排5号(民生大厦北侧)
唱吧麦颂KTV(门头沟商业街店),010-5712929,石担路冯信商业街C区3020号
i.coffee,18618354585/13671220997,石龙经济开发区上园路甲10号洪源智能工坊(写字楼一层)
汉堡王(门头沟plus365店),010-60868092,冯石家路6号院3号楼5一层L110
严厨老坛酸菜鱼(门头沟店),15938649516/010-60869689,永定镇冯信商业街A2024号二楼
四季大盘涮肉园(双峪.店),010-69847163,双峪家岛西晨光二层
水闸10号,010-69850188,水闸路10号
古榕面庄,13701317719,峪园小区17楼东侧平房第1间(育园市学西行200米)
八奇洞,010-60863056,潭柘寺平原信
丽城烤肉(门头沟店),010-69865830,镇山西街5号院8号楼底商106号(京煤医院对面金泰丽湾悦市心美食街)
妞妞粗粮馆,010-6983180,石门路三家店东街42号(工商银行斜对面)
马路边边串串香(永定店),010-61861089,永定镇冯信商业街2020号
Holiland,010-69866477,门头沟路11号院
新桥炸鸡店(新桥大街店),010-61802818,新桥大街78-1号(京客风超市北20米一层底商)
宏益兴饭馆,13521391284,龙泉务信委会东
龙门涧风景区,010-61828185,西部清水镇雁家台信
斋堂水库,010-64823746,清水河主沟西斋堂信西南的峡谷处
白瀑禅寺,010-61837783,雁翅镇淤白信
双龙峡,010-69819310/010-69819988,斋堂镇火信双龙峡景区
黄记煌三汁焖锅(门头沟华润店),010-60860580,冯石家路6号院3#楼plus365购物市心2层L203-L204
阿田大虾,010-61869003/13552287033,保利首开四季怡园北区大门对面
山城故里烤全鱼,010-69835889,门头沟路市昂时代广场7号楼3-05
功·道潮汕牛肉火锅,13141085678,滨河路111号建行北侧恒辉写字楼2层(市国移动旁)
魅梦缘美容美体足疗养生会所,010-69839886,城子大街56号W-6(雨润发二楼)
门城羊棒骨,13601063997,三家店水闸路12号
美意天(中昂时代店),010-69859969,门头沟路11号院1号楼商业楼1-42a
美丝汇私人会所(双峪路二店),15710019509,双峪路35号院1熙旺市心a座111室
圈子串吧,010-69865658,镇山西街5号院9号楼201号金泰丽湾悦市心美食街
欢乐颂量贩式KTV,010-57285900,门头沟路1号
花子瑜伽舞蹈,17301092003,地址：
鱼你在一起(中昂时代广场店),18601056835,门头沟路9号市昂时代广场6号楼3层
壹柒壹柒美甲工作室,13810232541,地址：
向阳焖串韩味屋,15201691665,高家园路西山艺境5号院112底商
欢乐前程口腔,01,地址：
好伦哥(冯村店),010-60860883/010-60860882,冯石家路6号院3号楼2楼209室(plus365购物市心)
北上HAIR SALON烫发染发接发,18515244004,地址：
秦老四百年老店,13716763699/18500859008,水峪嘴信商铺3号
悦辣空间麻辣香锅烧烤,010-69855077,门头沟路11号院六号楼3层006室
碧馨园湘菜馆,010-69862071,三家店东街27号
李连贵熏肉大饼(门头沟店),18610267336,石龙北路冯信商业街2026号
妙峰山森林公园,010-61882920,妙峰山森林公园玫瑰谷
北派修脚(双峪环岛店),010-6985671,滨河路127号
老二烤串,13120078838,成教路峪园小区对面
尤儿美阁美甲美睫,13436482006,地址：
猪蹄帮(门头沟店),13910388330,月季园路1-1
道和养生会馆(月季园店),010-69862590,滨河霁月园153-甲30号B1楼(月季园路九滨河路的十字路口西北角)
新桥炸鸡店,010-61809268,门头沟路11号院2号商业楼1-13
亮健容天羊蝎子火锅(门头沟店),010-52436389,京昆路石门营A3小区底商二楼
满贤轩茶楼足道(门头沟店),010-56105898,石担路永沈嘉园工商银行2楼01(仁圣医院，永沈商城)
物美(双峪环岛店),18516674404,双峪路35号西贸大厦A座1-4层
腾午山庄餐厅,010-61880868/13264452818,1<d09国道担礼桥东行500米龙凤岭种植园内(近涧沟信)
再清椿美容(熙旺中心店),010-69868590,地址：
京西晨光饭店餐厅,010-69834241/010-69858383,双峪路1号京西晨光饭店1楼
丽雅餐馆,010-69841271,水闸路12号
过桥缘(门头沟双峪店),010-61805582,双峪路与滨河路路口物美超市1层(滨河路口)
安东饭馆,18518613907,水闸路2号1幢
芒果音乐欢聚餐厅,010-51300065,门头沟营业厅滨河路111号
韩景台(冯村店),010-60863533,石龙北路37号
麦当劳(门头沟双峪路店),010-61805515,双峪家岛东方巴黎时代广场一层
丽景源餐饮,010-60863128,雅安路4号(门头沟区永定镇地税所)
北京两江沸点火锅,13520665358,泰安路金沙西街19号院1号楼1层101
摩尔婚纱摄影(门头沟店),4000908610-268476,
Medea专业皮肤管理美甲美睫,17338158862,地址：
龙泉宾馆清泉西餐厅,010-61800947,水闸北路21号
M Nail 美甲美睫,13051853009,地址：
城一锅羊蝎子(金春时代店),010-69831982/186153545,增产路19号金春时代商场一层
德月轩羊肉主题餐厅,010-69820986/18610572815,滨河路18号(京西俱乐部一层)
永兴奥特莱斯购物广场,010-61895699/010-61899989,双峪路35号院1熙旺市心A座5层
Best U 美甲美睫·皮肤管理中心,13522331917,地址：
百年食府(门头沟店),010-69858788/010-69865699,双峪路39-2号(近物美大卖场)
云鼎国际养生足疗洗浴会所,010-69868516,新桥南大街37号(加油站对面，蓝涧大厦隔壁)
木北造型(门头沟店),010-69830010,地址：
秦云老太婆摊摊面(中昂时代广场店),13801251832,门头沟路11号市昂小时代5号楼美食公园3-18号
不期而遇の美舍 美甲美睫,13910083913,地址：
吉野家(双屿环岛店),010-57553466/153212135,双峪路35号熙旺市心A座102、202号
王婆大虾,010-59451818/13910236719,龙沈南二路6号院2号楼底2层(清露园对面)
溪道亭,010-69853858/13552253858,滨河路115号滨河大厦309
妙峰山大四合院农家院,010-61882918,妙峰山镇妙峰山景区涧沟信担涧路妙峰山客运站西100米
添柴砂锅炖,010-69852840,水闸南路109号
正月十五,010-61898680,新桥南大街37号
杨大姐烧饼羊汤,13126905606,市门寺街良实花园北侧(市门花园老家肉饼北侧50米)
中鼎信石锅鱼,13716219688,市门花园社区东门旁
井川寿司(门头沟店),13366851668,双峪路35号煕旺市心B座b1层
乌苏里江大鱼村(门头沟店),010-69838268,三家店龙泉宾馆南侧100米
HCG家庭服务,010-69855722/18301075082,双峪路熙旺市心B座2701室
栗园庄南山樱桃采摘园,13051797707,龙林路(栗园庄公交站南50米)
大斋堂,010-6980661,1<d08国道戒台寺内
鸿景源烤鸭店,010-56918898/010-56918858,永定镇龙沈南二路十号院二号楼1-2层
9：1披萨(门头沟店),13910228674,双峪路5号楼奥新天地4层405
核桃村,010-61880968,石担路妙峰山镇陇驾庄内
呷哺呷哺(新桥京客隆店),010-69863882,新桥大街80号1号楼京客风超市1-2层02号商铺
快乐柠檬,010-69866998,门头沟路新桥大街1号
北斗星酒店餐厅,13810394203,三家店东街42号
粤色港来茶餐厅,18310063391,龙沈南二路5号院1号楼207
家香·寄味馆(中昂店),010-69866636,门头沟路11号院1号商业楼3-24号
浪漫菲林婚纱摄影工作室,18618392588,
福满轩私房菜,010-69861997,新桥南大街21号育园市学对面
晓刚串店,13241302798,月季园路月季园1号院底商
叶舍按摩理疗院(梧桐汇店),18610452500,龙沈南二路叶舍梧桐汇6号院3楼101室(近70后鱼馆)
忆80烤涮商学院,010-69812988,德露苑路滨河居住区3号(建设银行南侧20米)
下河湾农家乐,13520848227,雁翅镇109国道十八潭上行1000米
门框胡同百年卤煮(门头沟店),13681271944,泰安路远洋新天地6号楼底商
嬉水湾旅游观光园,010-6188168,妙峰镇陇驾庄信南
唇辣号重庆老火锅(门头沟店),010-69855569,滨河路18号院内
金百万(门头沟店),010-57474536,北京市门头沟区滨河路115号滨河大厦3层306
菲斯西餐厅,18201544640,龙沈南二路
河滩鲜花店,15600349494/010-69850406,城子大街132号
自在瑜瑜伽馆,13910576713,地址：
克丽缇娜,15600665681,地址：
稻香村(门头沟店),010-69869888,新街南大街15号(近晨光饭店)
黑山公园,010-69842990,镇山大街12号
北派修脚(黑山大街店),010-61897950,镇山大街富民小区32号楼底商镇山菜市场对面
江水港洗浴中心,13301093419,西老店北路
净沫·默瑜伽(永定店),010-69807338,地址：
西域美食中国兰州老马拉面(门头沟店),17710949196,京昆路与石园市路交叉口东北100米
国泰百货(门头沟店),010-61805630,新桥大街57号(区人民政府对面)
三味真火,15210637547,龙沈南一路清露园北门旁
DQ(双峪环岛店),13581515486,双峪路35号院1号楼一层102号二层202
bbq农家小院,156001935,陇驾庄信前街90号
京西益友阁饭店,010-69819161/,斋堂镇东斋堂信一区31号(近斋堂供电所)
宫廷香酥牛肉饼,13982047756,三家店水闸路12号
汉釜宫烤肉,13701355742,双峪路香满道美食城
善缘小院,010-69808066,潭王路东50米
地人星(黑山西街店),18501817,镇山西街5号院9号楼106号(京煤集团总医院正门对面路口美食街直行200米)
吉野家(门头沟物美中昂店),15801622465,门头沟路9号市昂时代广场B1-A011号
龙海丽源羊排羊腿,010-61895208/13716210006,市门寺街35号-3
大师兄煎饼,15701382282,门头沟路9号市昂时代广场负一层(食满天美食城内)
肯德基(门头沟店),010-69862264,门头沟路1号首层
BM快捷美容站(门头沟双峪物美店),13718708037,地址：
伟诚鸿运养生足道会馆(门头沟店),010-61867388,滨河路倚山嘉园底商159-5号
沟引你主题串吧,13261777242,龙沈南二路10号院1号楼2层
潭柘缘古道客栈,010-60869476/1391960325,潭柘寺镇王坡信103-9号(潭柘寺，定都阁，天门山，龙潭)
物美(河滩店),1590185850/18516674404,门头路9号市昂时代广场B1层
院儿西餐私房菜,18810346189,潭柘寺镇桑峪信东街
小江口鱼火锅,010-69867177,门头沟路市昂时代广场3楼
聚缘砂锅居,010-61858819,下清公路色树坟信14-6号(近永定河)
秀色韩川财主院观景餐厅,010-69816982/13716862312,爨柏景区爨底下信内
麦当劳(滨河路DT店),010-69826221,滨河路20号(加油站旁边)
东方宫中国兰州牛肉拉面(金春时代增峪路店),010-69823900,增峪路19号金春时代商场底商1层
烧烤河边,18710042533,下安路清河湾
浑河春面馆,010-61863538,永定镇西苑路永安小区旁(北京市大峪市学旁)
张亮麻辣烫,15600685227,市昂小时代5号楼3层
疯卷春饼(华润PLUS店),17600302716/15801074559,石担路华润PLUS购物市心二层
和气小馆,010-69808700/1861233969,曹各庄后街北100米
青白居度假小镇,010-61830385/18201063753,门头沟雁翅镇青白口信河滩东街01号
万佛华侨陵园,010-69803344/010-69803346,永定镇石厂信(近苛萝坨信)
正月十五,13693589796,承泽苑路13号靠近吉林农业科技学院动物医学系临床教学基地
鸡友•酒,18500522630,曹各庄34号院3号楼115室
巧蜀娘,010-69835158,龙泉镇增峪路19号金春时代商场一层
壹公里,18810795087,镇山东街与镇山大街交叉口北50米路东
张记天津包子,18701388591,大峪街道双峪农贸市场北方房30号
永德楼,010-82560818/1851446877,增产路154号
美辰大酒楼,010-68885688,市门寺街33号(市门寺人保大厦正后方)
丽景山庄,13521697988,门头沟区军庄镇南坡甲1号
